sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1290,970,,0,0,0.008004762
0.06,1290,970,,0,0,0
0.08,1290,970,,0,0,0
0.09999999,1290,970,,0,0,0
0.12,1290,970,,0,0,0
0.14,1290,970,,0,0,0
0.16,1290,970,,0,0,0
0.18,1290,970,,0,0,0
0.2,1290,970,,0,0,0
0.22,1290,970,,0,0,0
0.24,1290,970,,0,0,0
0.26,1290,970,,0,0,0
0.28,1290,970,,0,0,0
0.3,1289,971,,0,0,0.2166351
0.32,1289,972,,0,0,0.1047272
0.34,1288,973,,0,0,0.1121368
0.36,1286,975,,0,0,0.2361267
0.38,1286,976,,0,0,0.1274506
0.4,1285,977,,0,0,0.1331238
0.42,1284,978,,0,0,0.138797
0.44,1283,979,,0,0,0.1461426
0.46,1281,982,,0,0,0.3043121
0.48,1280,983,,0,0,0.163031
0.5,1279,984,,0,0,0.1656677
0.52,1278,986,,0,0,0.1728714
0.54,1277,987,,0,0,0.1835465
0.56,1276,989,,0,0,0.1792206
0.58,1274,992,,0,0,0.3854797
0.6,1273,993,,0,0,0.2069901
0.62,1271,995,,0,0,0.2011917
0.64,1270,997,,0,0,0.212619
0.66,1269,998,,0,0,0.2185974
0.68,1266,1002,,0,0,0.4533356
0.7,1265,1004,,0,0,0.2352997
0.72,1263,1006,,0,0,0.2410004
0.74,1262,1008,,0,0,0.2466782
0.76,1260,1010,,0,0,0.257544
0.78,1257,1014,,0,0,0.5194321
0.8,1255,1016,,0,0,0.2677673
0.82,1254,1018,,0,0,0.2770584
0.84,1252,1021,,0,0,0.2811951
0.86,1250,1023,,0,0,0.2873474
0.88,1249,1025,,0,0,0.2890854
0.9,1245,1030,,0,0,0.6120987
0.92,1243,1033,,0,0,0.3010361
0.94,1241,1035,,0,0,0.3132812
0.96,1239,1038,,0,0,0.3176621
0.98,1237,1040,,0,0,0.3261688
1,1233,1046,,0,0,0.6701401
1.02,1231,1048,,0,0,0.342598
1.04,1229,1051,,0,0,0.3617966
1.06,1227,1054,,0,0,0.3414871
1.08,1225,1057,,0,0,0.3635956
1.1,1221,1063,,0,0,0.7341492
1.12,1218,1066,,0,0,0.3773056
1.14,1216,1069,,0,0,0.3829132
1.16,1214,1072,,0,0,0.3940628
1.18,1211,1075,,0,0,0.38918
1.2,1209,1078,,0,0,0.4058609
1.22,1204,1085,,0,0,0.8108109
1.24,1201,1088,,0,0,0.4171738
1.26,1199,1092,,0,0,0.4225464
1.28,1196,1095,,0,0,0.4308899
1.3,1194,1098,,0,0,0.4378327
