sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1288,973,,0,0,0.399997
0.06,1288,973,,0,0,0
0.08,1288,973,,0,0,0
0.09999999,1288,973,,0,0,0
0.12,1288,973,,0,0,0
0.14,1288,973,,0,0,0
0.16,1288,973,,0,0,0
0.18,1288,973,,0,0,0
0.2,1288,973,,0,0,0
0.22,1288,973,,0,0,0
0.24,1288,973,,0,0,0
0.26,1288,973,,0,0,0
0.28,1288,973,,0,0,0
0.3,1221,1062,,0,0,11.17418
0.32,1214,1071,,0,0,1.093156
0.34,1208,1079,,0,0,1.01111
0.36,1202,1087,,0,0,1.010875
0.38,1196,1095,,0,0,1.011023
0.4,1190,1103,,0,0,1.01086
0.42,1178,1119,,0,0,2.021904
0.44,1172,1128,,0,0,1.049419
0.46,1166,1136,,0,0,0.9724411
0.48,1160,1144,,0,0,1.059157
0.5,1154,1152,,0,0,0.9917313
0.52,1148,1160,,0,0,0.9819992
0.54,1136,1176,,0,0,2.021881
0.56,1130,1184,,0,0,1.010947
0.58,1123,1192,,0,0,1.017889
0.6,1117,1200,,0,0,1.017654
0.62,1111,1208,,0,0,0.9973176
0.64,1099,1224,,0,0,2.021881
0.66,1093,1233,,0,0,1.010947
0.68,1087,1241,,0,0,1.010968
0.7,1081,1249,,0,0,1.01093
0.72,1075,1257,,0,0,1.013579
0.74,1063,1273,,0,0,2.019272
0.76,1057,1281,,0,0,1.010985
0.78,1051,1289,,0,0,1.018341
0.8,1045,1297,,0,0,1.004472
0.82,1039,1305,,0,0,1.009987
0.84,1032,1313,,0,0,1.010962
0.86,1020,1330,,0,0,2.021877
0.88,1014,1338,,0,0,1.010962
0.9,1008,1346,,0,0,1.010962
0.92,1002,1354,,0,0,1.010953
0.94,996,1362,,0,0,1.010915
0.96,984,1378,,0,0,2.039441
0.98,978,1386,,0,0,1.008096
1,972,1394,,0,0,1.010614
1.02,966,1402,,0,0,1.006058
1.04,960,1410,,0,0,1.001518
1.06,948,1427,,0,0,2.021872
1.08,941,1435,,0,0,1.021169
1.1,935,1443,,0,0,1.000729
1.12,929,1451,,0,0,1.011568
1.14,923,1459,,0,0,1.010406
1.16,917,1467,,0,0,1.024068
1.18,905,1483,,0,0,2.017609
1.2,901,1493,,851,1428,1.088378
1.22,894,1501,,0,0,1.030165
1.24,886,1508,,0,0,1.030096
1.26,879,1515,,0,0,1.037676
1.28,865,1530,,0,0,2.048064
1.3,857,1537,,0,0,1.015246
1.32,850,1545,,0,0,1.057886
1.34,843,1552,,0,0,1.002127
1.36,836,1559,,0,0,1.029976
