sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1290,970,,0,0,0.008004762
0.06,1290,970,,0,0,0
0.08,1290,970,,0,0,0
0.09999999,1290,970,,0,0,0
0.12,1290,970,,0,0,0
0.14,1290,970,,0,0,0
0.16,1290,970,,0,0,0
0.18,1290,970,,0,0,0
0.2,1290,970,,0,0,0
0.22,1290,970,,0,0,0
0.24,1290,970,,0,0,0
0.26,1290,970,,0,0,0
0.28,1290,970,,0,0,0
0.3,1289,971,,0,0,0.2107391
0.32,1288,973,,0,0,0.2101898
0.34,1287,974,,0,0,0.1135925
0.36,1287,975,,0,0,0.1192871
0.38,1286,976,,0,0,0.1249603
0.4,1285,977,,0,0,0.1306335
0.42,1283,979,,0,0,0.278302
0.44,1282,980,,0,0,0.1493073
0.46,1282,981,,0,0,0.151712
0.48,1281,983,,0,0,0.1630463
0.5,1280,984,,0,0,0.1606964
0.52,1277,987,,0,0,0.3464401
0.54,1276,988,,0,0,0.1817429
0.56,1275,990,,0,0,0.1874161
0.58,1274,991,,0,0,0.1931
0.6,1273,993,,0,0,0.2064942
0.62,1272,995,,0,0,0.1967239
0.64,1269,998,,0,0,0.4259369
0.66,1268,1000,,0,0,0.2214859
0.68,1266,1002,,0,0,0.227153
0.7,1265,1003,,0,0,0.2328476
0.72,1264,1005,,0,0,0.2385147
0.74,1261,1009,,0,0,0.4940598
0.76,1259,1011,,0,0,0.2555496
0.78,1258,1013,,0,0,0.2612228
0.8,1256,1016,,0,0,0.2669174
0.82,1254,1018,,0,0,0.2726013
0.84,1251,1022,,0,0,0.5622208
0.86,1249,1025,,0,0,0.2916962
0.88,1247,1027,,0,0,0.306633
0.9,1246,1029,,0,0,0.2875321
0.92,1244,1032,,0,0,0.306633
0.94,1242,1034,,0,0,0.3123383
0.96,1238,1039,,0,0,0.641684
0.98,1236,1042,,0,0,0.3293671
1,1234,1045,,0,0,0.335051
1.02,1232,1047,,0,0,0.3407135
1.04,1230,1050,,0,0,0.3566147
1.06,1226,1056,,0,0,0.6996002
1.08,1224,1059,,0,0,0.3634262
1.1,1221,1062,,0,0,0.3691315
1.12,1219,1065,,0,0,0.3747772
1.14,1217,1068,,0,0,0.3804611
1.16,1214,1071,,0,0,0.386145
1.18,1210,1077,,0,0,0.7893082
1.2,1207,1080,,0,0,0.4031738
1.22,1205,1084,,0,0,0.4115829
1.24,1202,1087,,0,0,0.4138764
1.26,1200,1090,,0,0,0.4181488
1.28,1195,1097,,0,0,0.8732452
1.3,1192,1101,,0,0,0.4244919
1.32,1189,1104,,0,0,0.4398819
