sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1325,813,,0,0,0.007996046
0.06,1325,813,,0,0,0
0.08,1325,813,,0,0,0
0.09999999,1325,813,,0,0,0
0.12,1325,813,,0,0,0
0.14,1325,813,,0,0,0
0.16,1325,813,,0,0,0
0.18,1325,813,,0,0,0
0.2,1325,813,,0,0,0
0.22,1325,813,,0,0,0
0.24,1325,813,,0,0,0
0.26,1325,813,,0,0,0
0.28,1325,813,,0,0,0
0.3,1324,814,,0,0,0.2151906
0.32,1323,815,,0,0,0.1099593
0.34,1323,816,,0,0,0.1050467
0.36,1321,818,,0,0,0.2392449
0.38,1321,819,,0,0,0.1299757
0.4,1320,820,,0,0,0.1289159
0.42,1319,821,,0,0,0.140853
0.44,1318,822,,0,0,0.1459924
0.46,1317,825,,0,0,0.3021376
0.48,1316,826,,0,0,0.1639269
0.5,1315,828,,0,0,0.1646349
0.52,1314,829,,0,0,0.172807
0.54,1313,830,,0,0,0.1784691
0.56,1312,832,,0,0,0.1893565
0.58,1309,835,,0,0,0.3801242
0.6,1308,837,,0,0,0.2011923
0.62,1307,839,,0,0,0.2069032
0.64,1306,840,,0,0,0.2152892
0.66,1305,842,,0,0,0.2154197
0.68,1302,846,,0,0,0.458253
0.7,1301,848,,0,0,0.2304598
0.72,1299,850,,0,0,0.2409237
0.74,1298,852,,0,0,0.2472971
0.76,1297,854,,0,0,0.2515904
0.78,1295,856,,0,0,0.2681213
0.8,1292,860,,0,0,0.5271416
0.82,1291,863,,0,0,0.2706402
0.84,1289,865,,0,0,0.2841345
0.86,1287,867,,0,0,0.2828961
0.88,1286,870,,0,0,0.2920225
0.9,1282,875,,0,0,0.6035146
0.92,1281,877,,0,0,0.3066228
0.94,1279,880,,0,0,0.3147441
0.96,1277,883,,0,0,0.3225586
0.98,1275,885,,0,0,0.3310037
1,1271,891,,0,0,0.6672267
1.02,1270,894,,0,0,0.3380683
1.04,1268,896,,0,0,0.348803
1.06,1266,899,,0,0,0.3583359
1.08,1264,902,,0,0,0.3605109
1.1,1259,908,,0,0,0.7329591
1.12,1257,912,,0,0,0.3796789
1.14,1255,915,,0,0,0.3920787
1.16,1253,918,,0,0,0.375779
1.18,1251,921,,0,0,0.3937385
1.2,1248,924,,0,0,0.406857
1.22,1243,931,,0,0,0.8273188
1.24,1241,934,,0,0,0.4049757
1.26,1239,938,,0,0,0.4136819
1.28,1236,941,,0,0,0.4274238
1.3,1234,945,,0,0,0.4330405
1.32,1228,952,,0,0,0.8829613
1.34,1226,955,,0,0,0.4502124
1.36,1223,959,,0,0,0.4552841
1.38,1220,963,,0,0,0.4612069
1.4,1218,967,,0,0,0.46687
1.42,1215,970,,0,0,0.4768446
1.44,1209,978,,0,0,0.9677092
1.46,1206,982,,0,0,0.4839024
1.48,1203,986,,0,0,0.487175
1.5,1200,990,,0,0,0.5150118
1.52,1197,994,,0,0,0.4783553
1.54,1191,1002,,0,0,0.988341
1.56,1188,1006,,0,0,0.4762849
1.58,1186,1010,,0,0,0.4915956
1.6,1183,1014,,0,0,0.4948549
1.62,1180,1018,,0,0,0.4898439
1.64,1174,1026,,0,0,0.9892771
1.66,1171,1030,,0,0,0.4840033
1.68,1168,1034,,0,0,0.4927792
1.7,1165,1037,,0,0,0.4904019
1.72,1162,1041,,0,0,0.4916081
1.74,1159,1045,,0,0,0.4915878
1.76,1154,1053,,0,0,0.9872731
1.78,1151,1057,,0,0,0.5010339
1.8,1148,1061,,0,0,0.479822
1.82,1145,1066,,0,0,0.5100601
1.84,1142,1069,,0,0,0.471401
1.86,1136,1077,,0,0,0.9831846
1.88,1133,1081,,0,0,0.5108717
1.9,1131,1085,,0,0,0.4723235
1.92,1128,1089,,0,0,0.5071719
1.94,1125,1093,,0,0,0.4760381
1.96,1119,1101,,0,0,0.9929153
1.98,1117,1105,,0,0,0.4802415
2,1114,1109,,0,0,0.495821
2.02,1111,1113,,0,0,0.459147
2.04,1108,1117,,0,0,0.4708569
2.06,1106,1121,,0,0,0.4800903
2.08,1100,1128,,0,0,0.9008725
2.1,1098,1132,,0,0,0.4557693
2.12,1095,1136,,0,0,0.4581352
2.14,1092,1139,,0,0,0.4185473
2.16,1089,1143,,0,0,0.5031808
2.18,1087,1147,,0,0,0.4401664
2.2,1082,1153,,0,0,0.8340563
2.22,1079,1156,,0,0,0.3978308
2.24,1077,1160,,0,0,0.4154536
2.26,1074,1163,,0,0,0.3876903
2.28,1072,1166,,0,0,0.4109678
2.3,1067,1172,,0,0,0.7617178
2.32,1065,1175,,0,0,0.3974904
2.34,1062,1178,,0,0,0.4026662
2.36,1060,1182,,0,0,0.4108706
2.38,1057,1185,,0,0,0.4098792
2.4,1055,1188,,0,0,0.4179625
2.42,1050,1195,,0,0,0.8510635
2.44,1047,1199,,0,0,0.4329557
2.46,1045,1202,,0,0,0.4378297
2.48,1042,1206,,0,0,0.4430089
2.5,1040,1210,,0,0,0.446951
2.52,1035,1217,,0,0,0.9182415
2.54,1032,1221,,0,0,0.4561051
2.56,1030,1225,,0,0,0.4598729
2.58,1027,1229,,0,0,0.4690057
2.6,1025,1233,,0,0,0.4783635
2.62,1020,1241,,0,0,0.9320672
2.64,1018,1245,,0,0,0.4470017
2.66,1015,1249,,0,0,0.4528563
2.68,1013,1252,,0,0,0.4420175
2.7,1011,1256,,0,0,0.4389424
2.72,1009,1260,,0,0,0.4332765
2.74,1004,1267,,0,0,0.8494756
2.76,1002,1271,,0,0,0.4162402
2.78,1000,1274,,0,0,0.4125145
2.8,998,1278,,0,0,0.4162238
2.82,995,1281,,0,0,0.402564
2.84,991,1288,,0,0,0.813277
2.86,990,1292,,0,0,0.3773136
2.88,988,1295,,0,0,0.397899
2.9,986,1299,,0,0,0.3998117
2.92,984,1302,,0,0,0.4062755
2.94,980,1310,,0,0,0.8198514
2.96,979,1313,,0,0,0.3929599
2.98,977,1317,,0,0,0.41633
3,975,1321,,0,0,0.4054953
3.02,974,1325,,0,0,0.4221329
3.04,972,1328,,0,0,0.4085207
3.06,969,1336,,0,0,0.8397067
3.08,968,1340,,0,0,0.4233794
3.1,966,1344,,0,0,0.4293471
3.12,965,1348,,0,0,0.4087185
3.14,964,1352,,0,0,0.4147981
3.16,962,1360,,0,0,0.8235435
3.18,960,1364,,0,0,0.4015723
3.2,959,1368,,0,0,0.4004456
3.22,958,1371,,0,0,0.390053
3.24,957,1375,,0,0,0.3867242
3.26,955,1382,,0,0,0.7564173
3.28,954,1386,,0,0,0.3697092
3.3,953,1389,,0,0,0.3640638
3.32,952,1393,,0,0,0.3584623
3.34,951,1396,,0,0,0.3726682
3.36,950,1400,,0,0,0.3361496
3.38,948,1407,,0,0,0.7156101
3.4,947,1410,,0,0,0.352164
3.42,946,1413,,0,0,0.349863
3.44,945,1417,,0,0,0.3544191
3.46,944,1420,,0,0,0.3704279
3.48,941,1427,,0,0,0.7004048
3.5,940,1430,,0,0,0.3511644
3.52,939,1433,,0,0,0.3526462
3.54,938,1437,,0,0,0.3353297
3.56,937,1440,,0,0,0.3421281
3.58,935,1446,,0,0,0.6544644
3.6,934,1449,,0,0,0.319075
3.62,933,1452,,0,0,0.3148156
3.64,932,1455,,0,0,0.3094474
3.66,931,1458,,0,0,0.3152346
3.68,930,1461,,0,0,0.2983606
3.7,929,1466,,0,0,0.5678048
3.72,928,1469,,0,0,0.3011875
3.74,927,1472,,0,0,0.2877492
3.76,926,1475,,0,0,0.3134295
3.78,925,1478,,0,0,0.3001927
3.8,923,1484,,0,0,0.634837
3.82,922,1487,,0,0,0.326274
3.84,921,1490,,0,0,0.3349046
3.86,920,1493,,0,0,0.3232871
