sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1322,815,,0,0,0.4000039
0.06,1322,815,,0,0,0
0.08,1322,815,,0,0,0
0.09999999,1322,815,,0,0,0
0.12,1322,815,,0,0,0
0.14,1322,815,,0,0,0
0.16,1322,815,,0,0,0
0.18,1322,815,,0,0,0
0.2,1322,815,,0,0,0
0.22,1322,815,,0,0,0
0.24,1322,815,,0,0,0
0.26,1322,815,,0,0,0
0.28,1322,815,,0,0,0
0.3,1257,899,,0,0,10.63837
0.32,1251,907,,0,0,1.028817
0.34,1246,916,,0,0,1.011038
0.36,1234,933,,0,0,2.041806
0.38,1229,941,,0,0,1.010033
0.4,1223,950,,0,0,1.003162
0.42,1218,958,,0,0,0.9997529
0.44,1212,967,,0,0,1.055763
0.46,1201,984,,0,0,1.977065
0.48,1196,992,,0,0,1.010932
0.5,1190,1000,,0,0,1.011795
0.52,1185,1009,,0,0,1.010105
0.54,1179,1017,,0,0,1.021895
0.56,1173,1026,,0,0,1.017708
0.58,1162,1043,,0,0,2.00476
0.6,1157,1051,,0,0,1.010386
0.62,1151,1060,,0,0,1.052843
0.64,1146,1068,,0,0,0.9811844
0.66,1140,1077,,0,0,1.014193
0.68,1129,1093,,0,0,2.006557
0.7,1124,1102,,0,0,1.01643
0.72,1118,1110,,0,0,1.005432
0.74,1113,1119,,0,0,1.010964
0.76,1107,1127,,0,0,1.042282
0.78,1096,1144,,0,0,1.990887
0.8,1090,1153,,0,0,1.010623
0.82,1085,1161,,0,0,1.010932
0.84,1079,1170,,0,0,1.046789
0.86,1074,1178,,0,0,0.9755599
0.88,1068,1187,,0,0,1.023284
0.9,1057,1203,,0,0,2.020992
0.92,1052,1212,,0,0,0.9990695
0.94,1046,1220,,0,0,1.044391
0.96,1040,1229,,0,0,1.022236
0.98,1035,1237,,0,0,1.000815
1,1024,1254,,0,0,1.987317
1.02,1018,1262,,0,0,1.010947
1.04,1013,1271,,0,0,1.014049
1.06,1007,1279,,0,0,1.007868
1.08,1002,1288,,0,0,1.010932
1.1,991,1305,,0,0,2.021906
1.12,983,1313,,1050,1354,1.100325
1.14,979,1322,,0,0,1.02632
1.16,975,1332,,0,0,1.077326
1.18,971,1341,,0,0,0.9796501
1.2,967,1351,,0,0,1.037931
1.22,960,1369,,0,0,2.014358
1.24,956,1379,,0,0,1.051348
1.26,952,1389,,0,0,1.005413
1.28,948,1398,,0,0,1.019183
1.3,944,1408,,0,0,1.028565
1.32,937,1427,,0,0,2.036694
1.34,934,1436,,0,0,1.031431
1.36,930,1446,,0,0,1.012789
1.38,927,1455,,0,0,1.024188
1.4,923,1465,,0,0,1.031876
1.42,920,1475,,0,0,1.034337
1.44,914,1494,,0,0,2.014078
1.46,914,1504,,820,1601,0.9699556
1.48,910,1514,,0,0,1.070449
1.5,904,1522,,0,0,0.982167
1.52,898,1529,,0,0,0.9953047
1.54,884,1544,,0,0,1.983692
1.56,878,1551,,0,0,0.9635735
1.58,872,1558,,0,0,0.9777851
1.6,865,1566,,0,0,0.9804038
1.62,859,1573,,0,0,0.9740239
1.64,845,1588,,0,0,1.985351
1.66,839,1595,,0,0,0.9786998
1.68,833,1602,,0,0,0.9746594
1.7,826,1610,,0,0,0.9763476
1.72,820,1617,,0,0,0.9773715
1.74,813,1624,,0,0,0.9746112
1.76,799,1639,,0,0,1.984059
1.78,793,1646,,0,0,0.9974794
1.8,786,1653,,0,0,0.973941
1.82,780,1660,,0,0,0.9540178
1.84,773,1668,,0,0,0.9967888
1.86,759,1682,,0,0,1.966363
1.88,753,1689,,0,0,0.9682214
1.9,746,1696,,0,0,0.9737247
1.92,739,1703,,0,0,0.9915397
1.94,733,1710,,0,0,0.9550658
1.96,719,1724,,0,0,1.981198
1.98,712,1731,,0,0,0.9724503
2,705,1738,,0,0,0.9721206
2.02,698,1745,,0,0,0.9717603
2.04,692,1752,,0,0,0.9913995
2.06,685,1759,,0,0,0.9509052
2.08,670,1772,,0,0,1.978959
2.1,663,1779,,0,0,0.9727132
2.12,657,1786,,0,0,0.9670288
2.14,650,1793,,0,0,0.9691216
2.16,643,1800,,0,0,0.9691406
2.18,628,1813,,0,0,1.975958
2.2,621,1819,,0,0,0.9674592
2.22,614,1826,,0,0,0.9840638
2.24,607,1833,,0,0,0.958243
2.26,600,1839,,0,0,0.9560729
2.28,584,1851,,0,0,1.989892
2.3,577,1858,,0,0,0.946628
2.32,570,1864,,0,0,0.962598
2.34,562,1870,,0,0,0.9614313
2.36,555,1876,,0,0,0.9678988
2.38,547,1882,,0,0,0.9518942
2.4,531,1893,,0,0,1.962697
2.42,523,1899,,525,1897,0.9619179
2.44,516,1905,,0,0,0.9263216
2.46,507,1908,,460,1847,0.9947534
2.48,497,1908,,0,0,0.9292558
2.5,478,1907,,0,0,1.948942
2.52,469,1907,,460,1847,0.8677323
2.54,460,1907,,0,0,0.9489527
2.56,450,1907,,0,0,0.9552006
2.58,441,1907,,0,0,0.9402122
2.6,421,1905,,0,0,1.956606
2.62,412,1905,,0,0,0.9226522
2.64,402,1904,,310,1811,0.9657896
2.66,393,1901,,0,0,1.019063
2.68,386,1894,,0,0,0.9925622
2.7,379,1886,splitTimeTracker 01,0,0,1.020912
2.72,366,1871,,0,0,1.98676
2.74,359,1864,,310,1811,0.9972983
2.76,352,1858,,0,0,0.9488134
2.78,345,1851,,0,0,0.9624169
2.8,339,1844,,0,0,0.9534264
2.82,326,1829,,0,0,1.977123
2.84,318,1822,,0,0,0.9863154
2.86,313,1815,,0,0,0.9595436
2.88,306,1807,,0,0,1.022493
2.9,300,1800,,0,0,0.910981
2.92,298,1781,,0,0,1.943773
2.94,298,1771,,0,0,0.9755993
2.96,298,1761,,0,0,0.9521174
2.98,298,1752,,0,0,0.95271
3,298,1742,,0,0,0.9834948
3.02,298,1733,,0,0,0.9368387
3.04,297,1713,,0,0,1.971055
3.06,297,1703,,0,0,1.00387
3.08,297,1694,,0,0,0.9190733
3.1,297,1684,,0,0,0.9575471
3.12,297,1674,,0,0,0.9677054
3.14,297,1655,,0,0,1.963356
3.16,297,1645,,0,0,0.9601182
3.18,296,1635,,0,0,0.9657454
3.2,296,1626,,0,0,0.9619136
3.22,296,1616,,0,0,0.9525591
3.24,296,1597,,0,0,1.970947
3.26,296,1587,,0,0,0.96003
3.28,296,1577,,0,0,0.9618889
3.3,296,1567,,0,0,1.007428
3.32,296,1558,,0,0,0.9107755
3.34,296,1549,,0,0,0.9599901
3.36,295,1529,,0,0,1.976387
3.38,295,1519,,0,0,0.9544626
3.4,295,1510,,0,0,0.96009
3.42,295,1500,,0,0,0.9599046
3.44,295,1491,,0,0,0.9598566
3.46,295,1471,,0,0,1.996677
3.48,295,1461,,0,0,0.9389505
3.5,295,1451,,0,0,0.9691411
3.52,295,1442,,0,0,0.9457809
3.54,295,1432,,0,0,0.9618898
3.56,295,1413,,0,0,1.981019
3.58,294,1403,,0,0,0.9721838
3.6,294,1394,,0,0,0.9351839
3.62,294,1384,,0,0,0.959852
3.64,294,1374,,0,0,0.9598041
3.66,294,1364,,0,0,1.012347
3.68,294,1345,,0,0,1.918121
3.7,294,1335,,0,0,0.959798
3.72,294,1326,,0,0,0.9597502
3.74,294,1316,,0,0,0.9696653
3.76,294,1306,,0,0,1.002375
3.78,294,1287,,0,0,1.918063
3.8,294,1277,,0,0,0.9597425
3.82,294,1268,,0,0,0.9597635
3.84,294,1258,,0,0,0.9602042
3.86,294,1248,,0,0,0.9763677
3.88,294,1229,,0,0,1.958673
3.9,294,1219,,0,0,0.9674768
3.92,293,1210,,0,0,0.9464123
3.94,293,1200,,0,0,0.9898415
