sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1325,813,,0,0,0.007996046
0.06,1325,813,,0,0,0
0.08,1325,813,,0,0,0
0.09999999,1325,813,,0,0,0
0.12,1325,813,,0,0,0
0.14,1325,813,,0,0,0
0.16,1325,813,,0,0,0
0.18,1325,813,,0,0,0
0.2,1325,813,,0,0,0
0.22,1325,813,,0,0,0
0.24,1325,813,,0,0,0
0.26,1325,813,,0,0,0
0.28,1325,813,,0,0,0
0.3,1324,814,,0,0,0.2132708
0.32,1323,815,,0,0,0.1038467
0.34,1322,817,,0,0,0.2248375
0.36,1321,818,,0,0,0.1228261
0.38,1321,819,,0,0,0.12449
0.4,1320,820,,0,0,0.139037
0.42,1319,821,,0,0,0.1310818
0.44,1318,822,,0,0,0.1435888
0.46,1317,825,,0,0,0.3049003
0.48,1316,826,,0,0,0.1599128
0.5,1315,827,,0,0,0.1707348
0.52,1314,829,,0,0,0.1675337
0.54,1313,830,,0,0,0.1776446
0.56,1311,833,,0,0,0.3723398
0.58,1310,835,,0,0,0.1946865
0.6,1308,837,,0,0,0.2009097
0.62,1307,838,,0,0,0.2079117
0.64,1306,840,,0,0,0.2092822
0.66,1304,844,,0,0,0.4404657
0.68,1302,846,,0,0,0.2287496
0.7,1301,848,,0,0,0.234429
0.72,1300,849,,0,0,0.2400936
0.74,1298,852,,0,0,0.2457856
0.76,1297,854,,0,0,0.2514627
0.78,1294,858,,0,0,0.5199552
0.8,1292,860,,0,0,0.2684988
0.82,1291,862,,0,0,0.2741696
0.84,1289,865,,0,0,0.2818657
0.86,1288,867,,0,0,0.2835074
0.88,1284,872,,0,0,0.5880927
0.9,1282,874,,0,0,0.3025601
0.92,1281,877,,0,0,0.3082373
0.94,1279,879,,0,0,0.3139125
0.96,1277,882,,0,0,0.3296543
0.98,1273,888,,0,0,0.6461573
1,1272,890,,0,0,0.3366342
1.02,1270,893,,0,0,0.3498514
1.04,1268,896,,0,0,0.3404277
1.06,1266,899,,0,0,0.3612651
1.08,1264,902,,0,0,0.3517208
1.1,1259,908,,0,0,0.7383318
1.12,1257,911,,0,0,0.3737553
1.14,1255,914,,0,0,0.3820397
1.16,1253,917,,0,0,0.3877338
1.18,1251,921,,0,0,0.403467
1.2,1246,927,,0,0,0.8078302
1.22,1244,931,,0,0,0.3966986
1.24,1242,934,,0,0,0.4157985
1.26,1239,938,,0,0,0.4217889
1.28,1237,941,,0,0,0.4365127
1.3,1232,948,,0,0,0.8629324
1.32,1229,952,,0,0,0.4445086
1.34,1227,956,,0,0,0.4723227
1.36,1224,960,,0,0,0.4336987
1.38,1222,963,,0,0,0.4615403
1.4,1219,967,,0,0,0.4749054
1.42,1214,975,,0,0,0.9465553
1.44,1211,979,,0,0,0.4814835
1.46,1208,983,,0,0,0.4899075
1.48,1205,987,,0,0,0.4956123
1.5,1202,992,,0,0,0.5242642
1.52,1197,1000,,0,0,0.9988156
1.54,1194,1004,,0,0,0.5161014
1.56,1191,1008,,0,0,0.5239921
1.58,1188,1013,,0,0,0.5302851
1.6,1185,1017,,0,0,0.5482759
1.62,1179,1026,,0,0,1.074907
1.64,1176,1031,,0,0,0.5653456
1.66,1173,1035,,0,0,0.5443747
1.68,1169,1040,,0,0,0.5683119
1.7,1166,1045,,0,0,0.5648369
1.72,1163,1050,,0,0,0.5792642
1.74,1156,1059,,0,0,1.163056
1.76,1153,1064,,0,0,0.5921186
1.78,1150,1069,,0,0,0.5978592
1.8,1146,1074,,0,0,0.6034391
1.82,1143,1079,,0,0,0.6145123
1.84,1136,1089,,0,0,1.229995
1.86,1132,1094,,0,0,0.6261816
1.88,1129,1100,,0,0,0.6318736
1.9,1125,1105,,0,0,0.656767
1.92,1122,1110,,0,0,0.6449609
1.94,1114,1121,,0,0,1.282534
1.96,1111,1126,,0,0,0.6608729
1.98,1107,1132,,0,0,0.6653248
2,1103,1138,,0,0,0.6855077
2.02,1099,1143,,0,0,0.6633964
2.04,1096,1149,,0,0,0.6862941
2.06,1088,1160,,0,0,1.389518
2.08,1084,1166,,0,0,0.6956545
2.1,1080,1172,,0,0,0.7001741
2.12,1076,1178,,0,0,0.7218719
2.14,1072,1184,,0,0,0.7423677
2.16,1067,1191,,0,0,0.8527269
2.18,1059,1203,,0,0,1.471738
2.2,1054,1210,,0,0,0.7557839
2.22,1050,1216,,0,0,0.7306804
2.24,1046,1222,,0,0,0.7495489
2.26,1042,1228,,0,0,0.7645618
2.28,1038,1234,,0,0,0.7574915
2.3,1029,1247,,0,0,1.541861
2.32,1024,1254,,0,0,0.8083024
2.34,1020,1260,,0,0,0.7589572
2.36,1016,1267,,0,0,0.7968042
2.38,1011,1273,,0,0,0.793153
2.4,1002,1287,,0,0,1.61266
2.42,998,1294,,0,0,0.8247309
2.44,992,1299,,1050,1354,0.7886726
2.46,987,1305,,0,0,0.801658
2.48,982,1312,,0,0,0.809768
2.5,977,1318,,0,0,0.8229845
2.52,968,1332,,0,0,1.652995
2.54,963,1339,,0,0,0.8264905
2.56,959,1346,,0,0,0.8363082
2.58,954,1353,,0,0,0.8491325
2.6,950,1360,,0,0,0.8099173
2.62,941,1374,,0,0,1.689572
2.64,937,1381,,0,0,0.8407527
2.66,932,1389,,0,0,0.8503464
2.68,928,1396,,0,0,0.8364194
2.7,924,1403,,0,0,0.853151
2.72,915,1418,,0,0,1.721857
2.74,914,1425,,855,1450,0.6952091
2.76,913,1431,,0,0,0.6243979
2.78,912,1438,,0,0,0.655272
2.8,911,1445,,0,0,0.7030066
2.82,911,1452,,0,0,0.7208954
2.84,911,1467,,0,0,1.541885
2.86,911,1475,,0,0,0.7551575
2.88,911,1483,,0,0,0.7956848
2.9,911,1490,,0,0,0.7507437
2.92,911,1498,,0,0,0.7991031
2.94,908,1514,,820,1601,1.63709
2.96,906,1524,,0,0,0.9534077
2.98,903,1532,,0,0,0.8589808
3,900,1540,,0,0,0.8597263
3.02,897,1548,,0,0,0.8602734
3.04,890,1564,,0,0,1.747499
3.06,887,1572,,0,0,0.8614295
3.08,883,1580,,0,0,0.8666337
3.1,880,1588,,0,0,0.8574954
3.12,876,1596,,0,0,0.8761359
3.14,873,1603,,0,0,0.8495307
3.16,865,1619,,0,0,1.755397
3.18,858,1625,,888,1597,0.8584746
3.2,852,1631,,0,0,0.8436035
3.22,847,1636,,0,0,0.7929601
3.24,841,1642,,0,0,0.8271432
3.26,831,1656,,0,0,1.699243
3.28,825,1661,,0,0,0.7772013
3.3,819,1667,,0,0,0.8236535
3.32,814,1673,,0,0,0.7894592
3.34,809,1679,,0,0,0.8129078
3.36,797,1692,,0,0,1.7107
3.38,791,1697,,851,1747,0.8764161
3.4,784,1703,,0,0,0.8602167
3.42,778,1709,,0,0,0.8653301
3.44,772,1715,,0,0,0.8405798
3.46,766,1721,,0,0,0.8920254
3.48,754,1735,,0,0,1.752008
3.5,748,1740,,0,0,0.8717894
3.52,741,1746,,0,0,0.8425661
3.54,735,1752,,0,0,0.8933705
3.56,729,1758,,0,0,0.8551437
3.58,717,1771,,0,0,1.785459
3.6,710,1777,,0,0,0.8834792
3.62,704,1783,,0,0,0.8631907
3.64,697,1789,,751,1847,0.9043344
3.66,691,1795,,688,1796,0.8619195
3.68,679,1808,,0,0,1.803934
3.7,672,1814,,0,0,0.8805916
3.72,666,1820,,0,0,0.8691795
3.74,659,1826,,0,0,0.9069679
3.76,653,1832,,0,0,0.8729574
3.78,646,1838,,0,0,0.8960955
3.8,634,1851,,0,0,1.819847
3.82,627,1857,,0,0,0.8968044
3.84,621,1863,,0,0,0.8941495
3.86,614,1870,,0,0,0.9289059
3.88,607,1876,,0,0,0.8919204
