sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1325,813,,0,0,0.0200041
0.06,1325,813,,0,0,0
0.08,1325,813,,0,0,0
0.09999999,1325,813,,0,0,0
0.12,1325,813,,0,0,0
0.14,1325,813,,0,0,0
0.16,1325,813,,0,0,0
0.18,1325,813,,0,0,0
0.2,1325,813,,0,0,0
0.22,1325,813,,0,0,0
0.24,1325,813,,0,0,0
0.26,1325,813,,0,0,0
0.28,1325,813,,0,0,0
0.3,1322,817,,0,0,0.5356123
0.32,1320,819,,0,0,0.2528879
0.34,1319,821,,0,0,0.2527565
0.36,1316,825,,0,0,0.5054768
0.38,1315,827,,0,0,0.2532178
0.4,1313,829,,0,0,0.2522591
0.42,1312,831,,0,0,0.2527416
0.44,1310,833,,0,0,0.252729
0.46,1308,838,,0,0,0.5054705
0.48,1306,840,,0,0,0.2553719
0.5,1305,842,,0,0,0.2609965
0.52,1303,844,,0,0,0.2418713
0.54,1302,846,,0,0,0.2527141
0.56,1299,850,,0,0,0.5054768
0.58,1298,852,,0,0,0.257926
0.6,1296,854,,0,0,0.258491
0.62,1295,856,,0,0,0.2486723
0.64,1293,858,,0,0,0.2458494
0.66,1292,861,,0,0,0.2625179
0.68,1289,865,,0,0,0.5015239
0.7,1288,867,,0,0,0.2612228
0.72,1286,869,,0,0,0.2389997
0.74,1285,871,,0,0,0.2521639
0.76,1283,873,,0,0,0.2652646
0.78,1281,877,,0,0,0.4929412
0.8,1279,879,,0,0,0.2527353
0.82,1278,881,,0,0,0.2527416
0.84,1276,884,,0,0,0.2527353
0.86,1275,886,,0,0,0.2527416
0.88,1274,888,,0,0,0.2585185
0.9,1271,892,,0,0,0.5082891
0.92,1269,894,,0,0,0.2441397
0.94,1268,896,,0,0,0.258783
0.96,1266,898,,0,0,0.2478365
0.98,1265,900,,0,0,0.253988
1,1262,904,,0,0,0.5030814
1.02,1261,907,,0,0,0.2597819
1.04,1259,909,,0,0,0.2456887
1.06,1258,911,,0,0,0.2532516
1.08,1257,913,,0,0,0.2533891
1.1,1254,917,,0,0,0.5043004
1.12,1252,919,,0,0,0.2527353
1.14,1251,921,,0,0,0.2527353
1.16,1249,923,,0,0,0.2527353
1.18,1248,925,,0,0,0.2613266
1.2,1247,928,,0,0,0.2498468
1.22,1244,932,,0,0,0.4997761
1.24,1242,934,,0,0,0.2527416
1.26,1241,936,,0,0,0.2527353
1.28,1239,938,,0,0,0.2645388
1.3,1238,940,,0,0,0.242377
1.32,1235,944,,0,0,0.5040316
1.34,1234,946,,0,0,0.2581736
1.36,1232,948,,0,0,0.2472927
1.38,1231,950,,0,0,0.2527353
1.4,1230,953,,0,0,0.2538399
1.42,1227,957,,0,0,0.5093811
1.44,1225,959,,0,0,0.2477265
1.46,1224,961,,0,0,0.2608695
1.48,1222,963,,0,0,0.2446623
1.5,1221,965,,0,0,0.2526866
1.52,1220,967,,0,0,0.2527247
1.54,1217,971,,0,0,0.5133148
1.56,1215,973,,0,0,0.2449036
1.58,1214,976,,0,0,0.2527353
1.6,1212,978,,0,0,0.2630893
1.62,1211,980,,0,0,0.2499568
1.64,1208,984,,0,0,0.4979139
1.66,1207,986,,0,0,0.2527353
1.68,1205,988,,0,0,0.2527353
1.7,1204,990,,0,0,0.2527416
1.72,1203,992,,0,0,0.2529998
1.74,1200,996,,0,0,0.5057625
1.76,1198,999,,0,0,0.2570415
1.78,1197,1001,,0,0,0.2478809
1.8,1195,1003,,0,0,0.2662253
1.82,1194,1005,,0,0,0.2400154
1.84,1193,1007,,0,0,0.2519777
1.86,1190,1011,,0,0,0.5177904
1.88,1188,1013,,0,0,0.2404217
1.9,1187,1015,,0,0,0.2543837
1.92,1186,1017,,0,0,0.2510826
1.94,1184,1019,,0,0,0.2540917
1.96,1181,1024,,0,0,0.5047955
1.98,1180,1026,,0,0,0.2548069
2,1178,1028,,0,0,0.2499949
2.02,1177,1030,,0,0,0.2527353
2.04,1176,1032,,0,0,0.2564109
2.06,1173,1036,,0,0,0.5018076
2.08,1171,1038,,0,0,0.2574922
2.1,1170,1040,,0,0,0.2479846
2.12,1168,1042,,0,0,0.2527353
2.14,1167,1045,,0,0,0.2527353
2.16,1165,1047,,0,0,0.311351
2.18,1164,1049,,0,0,0.2585799
2.2,1161,1053,,0,0,0.4960464
2.22,1160,1055,,0,0,0.2476187
2.24,1158,1057,,0,0,0.2490059
2.26,1157,1059,,0,0,0.2525801
2.28,1155,1061,,0,0,0.2436535
2.3,1152,1065,,0,0,0.4927258
2.32,1151,1067,,0,0,0.2465677
2.34,1149,1069,,0,0,0.2478449
2.36,1148,1071,,0,0,0.245279
2.38,1147,1073,,0,0,0.246558
2.4,1145,1075,,0,0,0.2465606
2.42,1142,1079,,0,0,0.493124
2.44,1141,1081,,0,0,0.2467159
2.46,1139,1084,,0,0,0.2525909
2.48,1138,1086,,0,0,0.2423703
2.5,1137,1087,,0,0,0.2445743
2.52,1134,1092,,0,0,0.4931232
2.54,1132,1094,,0,0,0.2465587
2.56,1131,1096,,0,0,0.2465633
2.58,1129,1097,,0,0,0.2458521
2.6,1128,1099,,0,0,0.2347991
2.62,1125,1102,,0,0,0.4589704
2.64,1123,1104,,0,0,0.2319411
2.66,1121,1106,,0,0,0.2230562
2.68,1120,1107,,0,0,0.2429752
2.7,1118,1109,,0,0,0.2265401
2.72,1117,1111,,0,0,0.2301152
2.74,1114,1115,,0,0,0.4602275
2.76,1113,1117,,0,0,0.2301183
2.78,1112,1119,,0,0,0.2400004
2.8,1110,1121,,0,0,0.2203109
2.82,1109,1123,,0,0,0.2464855
2.84,1106,1127,,0,0,0.483788
2.86,1105,1129,,0,0,0.239385
2.88,1104,1131,,0,0,0.2402798
2.9,1102,1133,,0,0,0.2456797
2.92,1101,1135,,0,0,0.2383367
2.94,1098,1139,,0,0,0.4840067
2.96,1097,1141,,0,0,0.2424283
2.98,1096,1143,,0,0,0.2461819
3,1094,1145,,0,0,0.2413169
3.02,1093,1147,,0,0,0.2381003
3.04,1091,1149,,0,0,0.2543853
3.06,1089,1153,,0,0,0.4948068
3.08,1087,1155,,0,0,0.2497288
3.1,1086,1157,,0,0,0.2518337
3.12,1084,1159,,0,0,0.2490872
3.14,1083,1161,,0,0,0.2482565
3.16,1080,1165,,0,0,0.4742006
3.18,1079,1167,,0,0,0.2377368
3.2,1077,1169,,0,0,0.2364592
3.22,1076,1171,,0,0,0.2371038
3.24,1075,1173,,0,0,0.2371027
3.26,1073,1175,,0,0,0.2377156
3.28,1071,1178,,0,0,0.4632248
3.3,1069,1180,,0,0,0.2294426
3.32,1068,1182,,0,0,0.2439823
3.34,1066,1184,,0,0,0.2568302
3.36,1065,1186,,0,0,0.2283739
3.38,1063,1190,,0,0,0.4363248
3.4,1061,1192,,0,0,0.2261525
3.42,1060,1194,,0,0,0.2427071
3.44,1059,1196,,0,0,0.2469885
3.46,1057,1198,,0,0,0.2526979
3.48,1054,1202,,0,0,0.4964772
3.5,1053,1204,,0,0,0.2497217
3.52,1052,1206,,0,0,0.2504164
3.54,1050,1208,,0,0,0.2523428
3.56,1049,1210,,0,0,0.2464168
3.58,1046,1214,,0,0,0.4994603
3.6,1045,1216,,0,0,0.2417664
3.62,1043,1218,,0,0,0.2416302
3.64,1042,1220,,0,0,0.2417075
3.66,1041,1222,,0,0,0.2416984
3.68,1039,1224,,0,0,0.2419561
3.7,1037,1228,,0,0,0.4405845
3.72,1036,1230,,0,0,0.2067117
3.74,1035,1231,,0,0,0.1773425
3.76,1034,1233,,0,0,0.1713631
3.78,1033,1234,,0,0,0.1561092
3.8,1031,1236,,0,0,0.3005474
