sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1359,639,,0,0,0.008000962
0.06,1359,639,,0,0,0
0.08,1359,639,,0,0,0
0.09999999,1359,639,,0,0,0
0.12,1359,639,,0,0,0
0.14,1359,639,,0,0,0
0.16,1359,639,,0,0,0
0.18,1359,639,,0,0,0
0.2,1359,639,,0,0,0
0.22,1359,639,,0,0,0
0.24,1359,639,,0,0,0
0.26,1359,639,,0,0,0
0.28,1359,639,,0,0,0
0.3,1358,641,,0,0,0.2134403
0.32,1358,642,,0,0,0.103386
0.34,1358,645,,0,0,0.2240112
0.36,1357,646,,0,0,0.1202213
0.38,1357,647,,0,0,0.1277378
0.4,1357,648,,0,0,0.1325326
0.42,1356,650,,0,0,0.1350615
0.44,1356,653,,0,0,0.2919417
0.46,1355,654,,0,0,0.1548403
0.48,1355,656,,0,0,0.159813
0.5,1355,657,,0,0,0.1710724
0.52,1354,659,,0,0,0.1662884
0.54,1354,661,,0,0,0.177811
0.56,1353,664,,0,0,0.3708096
0.58,1353,666,,0,0,0.1942317
0.6,1352,668,,0,0,0.1999962
0.62,1352,670,,0,0,0.205506
0.64,1352,672,,0,0,0.2112705
0.66,1351,677,,0,0,0.4411944
0.68,1350,679,,0,0,0.228206
0.7,1350,681,,0,0,0.2379402
0.72,1349,683,,0,0,0.2340247
0.74,1349,686,,0,0,0.2451817
0.76,1348,691,,0,0,0.5072705
0.78,1347,693,,0,0,0.2661716
0.8,1347,696,,0,0,0.2635805
0.82,1346,699,,0,0,0.2732871
0.84,1345,701,,0,0,0.2788998
0.86,1344,707,,0,0,0.5787607
0.88,1344,710,,0,0,0.2916823
0.9,1343,713,,0,0,0.3022702
0.92,1343,716,,0,0,0.3061164
0.94,1342,719,,0,0,0.3243242
0.96,1342,722,,0,0,0.3065956
0.98,1341,729,,0,0,0.6555242
1,1340,732,,0,0,0.3328336
1.02,1339,735,,0,0,0.3416154
1.04,1339,739,,0,0,0.3368126
1.06,1338,742,,0,0,0.3348747
1.08,1338,748,,0,0,0.6595241
1.1,1337,752,,0,0,0.3268632
1.12,1337,755,,0,0,0.3301139
1.14,1337,758,,0,0,0.3247621
1.16,1337,761,,0,0,0.3152528
1.18,1337,765,,0,0,0.3201915
1.2,1337,771,,0,0,0.6402065
1.22,1337,774,,0,0,0.3195466
1.24,1337,777,,0,0,0.3106195
1.26,1337,780,,0,0,0.3112576
1.28,1337,784,,0,0,0.3201384
1.3,1337,790,,0,0,0.6194291
1.32,1337,793,,0,0,0.3106388
1.34,1337,796,,0,0,0.3133385
1.36,1337,799,,0,0,0.318111
1.38,1337,802,,0,0,0.2974087
1.4,1336,808,,0,0,0.5974595
