sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1358,643,,0,0,0.4000004
0.06,1358,643,,0,0,0
0.08,1358,643,,0,0,0
0.09999999,1358,643,,0,0,0
0.12,1358,643,,0,0,0
0.14,1358,643,,0,0,0
0.16,1358,643,,0,0,0
0.18,1358,643,,0,0,0
0.2,1358,643,,0,0,0
0.22,1358,643,,0,0,0
0.24,1358,643,,0,0,0
0.26,1358,643,,0,0,0
0.28,1358,643,,0,0,0
0.3,1335,749,,0,0,10.79423
0.32,1333,759,,0,0,1.098081
0.34,1330,769,,0,0,1.017425
0.36,1326,789,,0,0,2.051207
0.38,1324,799,,0,0,0.9752157
0.4,1322,809,,0,0,1.05883
0.42,1320,819,,0,0,1.009701
0.44,1318,829,,0,0,0.9642898
0.46,1313,848,,0,0,2.021894
0.48,1311,858,,0,0,1.011708
0.5,1309,868,,0,0,1.010209
0.52,1307,878,,0,0,1.010953
0.54,1305,888,,0,0,1.010953
0.56,1302,898,,0,0,1.010953
0.58,1298,918,,0,0,2.042884
0.6,1296,927,,0,0,0.9909554
0.62,1294,937,,0,0,1.00996
0.64,1292,947,,0,0,1.010927
0.66,1290,957,,0,0,1.017314
0.68,1283,976,,0,0,2.022011
0.7,1278,985,,0,0,0.9952072
0.72,1274,994,,0,0,1.013111
0.74,1269,1003,,0,0,1.002548
0.76,1264,1012,,0,0,1.010928
0.78,1255,1030,,0,0,2.021873
0.8,1251,1039,,0,0,1.020141
0.82,1246,1048,,0,0,1.015903
0.84,1241,1057,,0,0,0.9968185
0.86,1237,1066,,0,0,1.035666
0.88,1232,1075,,0,0,0.9862168
0.9,1223,1093,,0,0,2.021914
0.92,1218,1102,,0,0,1.010952
0.94,1214,1111,,0,0,1.010928
0.96,1209,1120,,0,0,1.010945
0.98,1204,1129,,0,0,1.011467
1,1195,1147,,0,0,2.021538
1.02,1191,1156,,1291,1049,1.010819
1.04,1188,1166,,0,0,1.010946
1.06,1186,1176,,0,0,1.03318
1.08,1184,1185,,0,0,0.9886993
1.1,1182,1195,,0,0,1.014695
1.12,1178,1215,,0,0,2.018151
1.14,1176,1226,,0,0,1.054452
1.16,1174,1235,,0,0,0.9674286
1.18,1172,1245,,0,0,1.010952
1.2,1170,1255,,0,0,1.013886
1.22,1166,1275,,0,0,2.018976
1.24,1164,1285,,0,0,1.015746
1.26,1162,1294,,0,0,1.00615
1.28,1160,1304,,0,0,1.013839
1.3,1158,1314,,0,0,1.008064
1.32,1154,1334,,0,0,2.021888
1.34,1152,1344,,0,0,1.010959
1.36,1150,1354,,0,0,1.010928
1.38,1148,1364,,0,0,1.010928
1.4,1146,1374,,0,0,1.029001
