sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1359,639,,0,0,0.008000962
0.06,1359,639,,0,0,0
0.08,1359,639,,0,0,0
0.09999999,1359,639,,0,0,0
0.12,1359,639,,0,0,0
0.14,1359,639,,0,0,0
0.16,1359,639,,0,0,0
0.18,1359,639,,0,0,0
0.2,1359,639,,0,0,0
0.22,1359,639,,0,0,0
0.24,1359,639,,0,0,0
0.26,1359,639,,0,0,0
0.28,1359,639,,0,0,0
0.3,1358,642,,0,0,0.2215931
0.32,1358,643,,0,0,0.1267489
0.34,1358,644,,0,0,0.113568
0.36,1357,645,,0,0,0.1228057
0.38,1357,646,,0,0,0.1215172
0.4,1357,648,,0,0,0.1311588
0.42,1356,650,,0,0,0.2774723
0.44,1356,652,,0,0,0.1476275
0.46,1356,653,,0,0,0.1550588
0.48,1355,655,,0,0,0.1572212
0.5,1355,656,,0,0,0.1667179
0.52,1354,660,,0,0,0.3448251
0.54,1354,662,,0,0,0.1811616
0.56,1353,663,,0,0,0.187378
0.58,1353,665,,0,0,0.1958015
0.6,1353,667,,0,0,0.195972
0.62,1352,669,,0,0,0.2044062
0.64,1351,673,,0,0,0.4380292
0.66,1351,676,,0,0,0.2092307
0.68,1350,678,,0,0,0.23132
0.7,1350,680,,0,0,0.2285949
0.72,1349,682,,0,0,0.2384657
0.74,1348,687,,0,0,0.4948483
0.76,1348,690,,0,0,0.2547201
0.78,1347,692,,0,0,0.2611145
0.8,1347,695,,0,0,0.266831
0.82,1346,698,,0,0,0.2760613
0.84,1345,700,,0,0,0.2897495
0.86,1344,706,,0,0,0.5703838
0.88,1344,709,,0,0,0.2832667
0.9,1343,712,,0,0,0.3044043
0.92,1342,715,,0,0,0.3176853
0.94,1342,718,,0,0,0.3007979
0.96,1340,724,,0,0,0.6385327
0.98,1340,727,,0,0,0.3293188
1,1339,730,,0,0,0.3395157
1.02,1338,734,,0,0,0.3361501
1.04,1337,737,,0,0,0.3464653
1.06,1336,744,,0,0,0.7096251
1.08,1335,748,,0,0,0.3700284
1.1,1334,751,,0,0,0.3625748
1.12,1334,755,,0,0,0.3768779
1.14,1333,759,,0,0,0.3781333
1.16,1331,766,,0,0,0.7861644
1.18,1330,770,,0,0,0.3920954
1.2,1329,774,,0,0,0.4017551
1.22,1329,778,,0,0,0.40725
1.24,1328,782,,0,0,0.4196273
1.26,1327,786,,0,0,0.4220007
1.28,1325,795,,0,0,0.8503808
1.3,1324,799,,0,0,0.4480001
1.32,1323,803,,0,0,0.4320643
1.34,1322,808,,0,0,0.4485554
1.36,1321,812,,0,0,0.4616403
1.38,1319,821,,0,0,0.919004
1.4,1318,826,,0,0,0.475547
