sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1359,639,,0,0,0.02000102
0.06,1359,639,,0,0,0
0.08,1359,639,,0,0,0
0.09999999,1359,639,,0,0,0
0.12,1359,639,,0,0,0
0.14,1359,639,,0,0,0
0.16,1359,639,,0,0,0
0.18,1359,639,,0,0,0
0.2,1359,639,,0,0,0
0.22,1359,639,,0,0,0
0.24,1359,639,,0,0,0
0.26,1359,639,,0,0,0
0.28,1359,639,,0,0,0
0.3,1357,645,,0,0,0.5450771
0.32,1357,647,,0,0,0.252739
0.34,1356,650,,0,0,0.2527464
0.36,1355,655,,0,0,0.5054747
0.38,1355,657,,0,0,0.252739
0.4,1354,660,,0,0,0.2527464
0.42,1354,662,,0,0,0.2557677
0.44,1353,665,,0,0,0.249692
0.46,1353,667,,0,0,0.252739
0.48,1352,672,,0,0,0.5078182
0.5,1351,674,,0,0,0.2504029
0.52,1350,677,,0,0,0.2593113
0.54,1350,679,,0,0,0.246156
0.56,1349,682,,0,0,0.252739
0.58,1348,687,,0,0,0.5072076
0.6,1348,689,,0,0,0.2510061
0.62,1347,692,,0,0,0.252739
0.64,1347,694,,0,0,0.2527315
0.66,1346,697,,0,0,0.252739
0.68,1346,699,,0,0,0.2543237
0.7,1345,704,,0,0,0.50389
0.72,1344,707,,0,0,0.2539464
0.74,1344,709,,0,0,0.2515283
0.76,1343,712,,0,0,0.2653465
0.78,1342,714,,0,0,0.2419869
0.8,1341,719,,0,0,0.5059522
0.82,1341,722,,0,0,0.263084
0.84,1340,724,,0,0,0.246578
0.86,1340,726,,0,0,0.2462114
0.88,1339,729,,0,0,0.2527464
0.9,1338,734,,0,0,0.5129647
0.92,1338,736,,0,0,0.2465375
0.94,1337,739,,0,0,0.2514654
0.96,1337,741,,0,0,0.2527208
0.98,1336,744,,0,0,0.2527464
1,1335,746,,0,0,0.252739
1.02,1334,751,,0,0,0.505463
1.04,1334,753,,0,0,0.2528466
1.06,1333,756,,0,0,0.2526207
1.08,1333,758,,0,0,0.2527464
1.1,1332,761,,0,0,0.255675
1.12,1331,766,,0,0,0.5025419
1.14,1331,768,,0,0,0.252739
1.16,1330,771,,0,0,0.2537535
1.18,1330,773,,0,0,0.264317
1.2,1329,776,,0,0,0.2401357
1.22,1328,781,,0,0,0.5054821
1.24,1327,783,,0,0,0.252739
1.26,1327,786,,0,0,0.2527315
1.28,1326,788,,0,0,0.2564637
1.3,1326,791,,0,0,0.2492625
1.32,1325,793,,0,0,0.2536054
1.34,1324,798,,0,0,0.5043973
1.36,1324,800,,0,0,0.2548459
1.38,1323,803,,0,0,0.2505915
1.4,1323,805,,0,0,0.2571489
1.42,1322,808,,0,0,0.2513024
