sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1290,970,,0,0,0.008004762
0.06,1290,970,,0,0,0
0.08,1290,970,,0,0,0
0.09999999,1290,970,,0,0,0
0.12,1290,970,,0,0,0
0.14,1290,970,,0,0,0
0.16,1290,970,,0,0,0
0.18,1290,970,,0,0,0
0.2,1290,970,,0,0,0
0.22,1290,970,,0,0,0
0.24,1290,970,,0,0,0
0.26,1290,970,,0,0,0
0.28,1290,970,,0,0,0
0.3,1289,971,,0,0,0.2198669
0.32,1288,972,,0,0,0.1060944
0.34,1288,973,,0,0,0.1117828
0.36,1287,974,,0,0,0.1174561
0.38,1286,976,,0,0,0.2519318
0.4,1285,977,,0,0,0.1351624
0.42,1284,978,,0,0,0.1394776
0.44,1283,979,,0,0,0.1458374
0.46,1282,981,,0,0,0.151651
0.48,1281,982,,0,0,0.1570679
0.5,1279,985,,0,0,0.3314224
0.52,1278,986,,0,0,0.174234
0.54,1277,987,,0,0,0.1883148
0.56,1276,989,,0,0,0.177269
0.58,1275,990,,0,0,0.1911591
0.6,1272,994,,0,0,0.399556
0.62,1271,995,,0,0,0.2082977
0.64,1270,997,,0,0,0.2162979
0.66,1269,999,,0,0,0.2173218
0.68,1267,1000,,0,0,0.2253326
0.7,1264,1004,,0,0,0.4676895
0.72,1263,1006,,0,0,0.2486511
0.74,1261,1008,,0,0,0.2432556
0.76,1260,1010,,0,0,0.2560242
0.78,1258,1012,,0,0,0.2555939
0.8,1257,1014,,0,0,0.2664978
0.82,1254,1019,,0,0,0.5529343
0.84,1252,1021,,0,0,0.2763718
0.86,1250,1023,,0,0,0.2863495
0.88,1248,1026,,0,0,0.2934616
0.9,1247,1028,,0,0,0.2995315
0.92,1243,1033,,0,0,0.6205781
0.94,1241,1036,,0,0,0.3191712
0.96,1239,1038,,0,0,0.3131943
0.98,1237,1041,,0,0,0.3275421
1,1235,1043,,0,0,0.3422821
1.02,1231,1049,,0,0,0.6743698
1.04,1229,1052,,0,0,0.3502502
1.06,1227,1054,,0,0,0.3559113
1.08,1225,1057,,0,0,0.3659821
1.1,1222,1060,,0,0,0.3697754
1.12,1220,1063,,0,0,0.366069
1.14,1216,1069,,0,0,0.7629502
1.16,1213,1073,,0,0,0.3899979
1.18,1211,1076,,0,0,0.3975174
1.2,1208,1079,,0,0,0.3994965
1.22,1206,1082,,0,0,0.407016
1.24,1201,1089,,0,0,0.8310776
1.26,1198,1092,,0,0,0.4240616
1.28,1196,1096,,0,0,0.4297729
1.3,1193,1099,,0,0,0.4402191
