sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1288,973,,0,0,0.399997
0.06,1288,973,,0,0,0
0.08,1288,973,,0,0,0
0.09999999,1288,973,,0,0,0
0.12,1288,973,,0,0,0
0.14,1288,973,,0,0,0
0.16,1288,973,,0,0,0
0.18,1288,973,,0,0,0
0.2,1288,973,,0,0,0
0.22,1288,973,,0,0,0
0.24,1288,973,,0,0,0
0.26,1288,973,,0,0,0
0.28,1288,973,,0,0,0
0.3,1224,1058,,0,0,10.68486
0.32,1218,1066,,0,0,1.010985
0.34,1206,1082,,0,0,2.021953
0.36,1200,1091,,0,0,1.010892
0.38,1194,1099,,0,0,1.025316
0.4,1187,1107,,0,0,1.029408
0.42,1181,1115,,0,0,1.003394
0.44,1169,1131,,0,0,1.996623
0.46,1163,1139,,0,0,1.010947
0.48,1157,1147,,0,0,1.036586
0.5,1151,1155,,0,0,0.9896942
0.52,1145,1163,,0,0,1.023349
0.54,1139,1172,,0,0,1.022957
0.56,1127,1188,,0,0,1.993147
0.58,1121,1196,,0,0,1.016624
0.6,1115,1204,,0,0,1.005235
0.62,1108,1212,,0,0,1.059985
0.64,1103,1220,,0,0,0.9619126
0.66,1090,1236,,0,0,2.021898
0.68,1084,1244,,0,0,1.010947
0.7,1078,1252,,0,0,1.028363
0.72,1072,1260,,0,0,1.015115
0.74,1066,1268,,0,0,0.9894043
0.76,1054,1285,,0,0,2.021883
0.78,1048,1293,,0,0,1.010953
0.8,1042,1301,,0,0,1.028221
0.82,1036,1309,,0,0,1.036859
0.84,1030,1317,,0,0,0.9677491
0.86,1024,1325,,0,0,1.016858
0.88,1012,1341,,0,0,2.016023
0.9,1006,1349,,0,0,1.010945
0.92,999,1357,,0,0,1.010919
0.94,993,1365,,0,0,1.010953
0.96,987,1374,,0,0,1.010979
0.98,975,1390,,0,0,2.031287
1,969,1398,,0,0,1.003862
1.02,963,1406,,0,0,1.008609
1.04,957,1414,,0,0,1.016467
1.06,951,1422,,0,0,1.005431
1.08,939,1438,,0,0,2.021886
1.1,933,1446,,0,0,1.010962
1.12,927,1454,,0,0,1.010962
1.14,921,1463,,0,0,1.015289
1.16,914,1471,,0,0,1.016086
1.18,909,1479,,851,1428,0.9843857
1.2,897,1495,,816,1578,2.018047
1.22,891,1503,,0,0,1.001337
1.24,884,1510,,0,0,0.9869182
1.26,877,1517,,0,0,0.9824892
1.28,870,1525,,0,0,1.01657
1.3,856,1539,,0,0,1.984625
1.32,849,1546,,0,0,1.006417
1.34,843,1553,,0,0,0.9783149
