sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1290,970,,0,0,0.008004762
0.06,1290,970,,0,0,0
0.08,1290,970,,0,0,0
0.09999999,1290,970,,0,0,0
0.12,1290,970,,0,0,0
0.14,1290,970,,0,0,0
0.16,1290,970,,0,0,0
0.18,1290,970,,0,0,0
0.2,1290,970,,0,0,0
0.22,1290,970,,0,0,0
0.24,1290,970,,0,0,0
0.26,1290,970,,0,0,0
0.28,1290,970,,0,0,0
0.3,1289,971,,0,0,0.2157257
0.32,1289,972,,0,0,0.1052399
0.34,1288,973,,0,0,0.110083
0.36,1286,975,,0,0,0.2371857
0.38,1286,976,,0,0,0.1271179
0.4,1285,977,,0,0,0.1374176
0.42,1284,978,,0,0,0.1380493
0.44,1283,979,,0,0,0.1400177
0.46,1281,982,,0,0,0.3053467
0.48,1280,983,,0,0,0.1610565
0.5,1279,984,,0,0,0.166861
0.52,1278,986,,0,0,0.1732529
0.54,1277,987,,0,0,0.1774979
0.56,1275,990,,0,0,0.3742813
0.58,1274,992,,0,0,0.1985275
0.6,1273,993,,0,0,0.1971161
0.62,1271,995,,0,0,0.208374
0.64,1270,997,,0,0,0.2101944
0.66,1269,998,,0,0,0.218074
0.68,1266,1002,,0,0,0.4528244
0.7,1265,1004,,0,0,0.2349838
0.72,1263,1006,,0,0,0.2421768
0.74,1262,1008,,0,0,0.247142
0.76,1260,1010,,0,0,0.2525528
0.78,1257,1014,,0,0,0.5190781
0.8,1255,1016,,0,0,0.2793579
0.82,1254,1018,,0,0,0.2660294
0.84,1252,1021,,0,0,0.2779801
0.86,1250,1023,,0,0,0.2860993
0.88,1247,1028,,0,0,0.5937668
0.9,1245,1030,,0,0,0.3125076
0.92,1243,1032,,0,0,0.2951233
0.94,1241,1035,,0,0,0.3142182
0.96,1239,1038,,0,0,0.3274109
0.98,1238,1040,,0,0,0.3185837
1,1233,1045,,0,0,0.6687012
1.02,1231,1048,,0,0,0.3428711
1.04,1229,1051,,0,0,0.35159
1.06,1227,1054,,0,0,0.351181
1.08,1225,1057,,0,0,0.3663086
1.1,1221,1063,,0,0,0.7304382
1.12,1218,1066,,0,0,0.3769302
1.14,1216,1069,,0,0,0.3826187
1.16,1214,1072,,0,0,0.3887879
1.18,1211,1075,,0,0,0.3934738
1.2,1207,1081,,0,0,0.8070236
1.22,1204,1085,,0,0,0.4089447
1.24,1202,1088,,0,0,0.4173538
1.26,1199,1091,,0,0,0.4238007
1.28,1196,1095,,0,0,0.4259369
1.3,1194,1098,,0,0,0.4414017
