sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1291,970,,0,0,161.4801
0.02,1291,970,,0,0,0
0.04,1290,970,,0,0,0.02000427
0.06,1290,970,,0,0,0
0.08,1290,970,,0,0,0
0.09999999,1290,970,,0,0,0
0.12,1290,970,,0,0,0
0.14,1290,970,,0,0,0
0.16,1290,970,,0,0,0
0.18,1290,970,,0,0,0
0.2,1290,970,,0,0,0
0.22,1290,970,,0,0,0
0.24,1290,970,,0,0,0
0.26,1290,970,,0,0,0
0.28,1290,970,,0,0,0
0.3,1287,974,,0,0,0.5363526
0.32,1286,976,,0,0,0.2527435
0.34,1283,980,,0,0,0.5107666
0.36,1281,982,,0,0,0.2520355
0.38,1280,984,,0,0,0.2481659
0.4,1278,986,,0,0,0.2534516
0.42,1277,988,,0,0,0.2520187
0.44,1274,992,,0,0,0.5054764
0.46,1272,994,,0,0,0.2527374
0.48,1270,996,,0,0,0.2530212
0.5,1269,998,,0,0,0.2524597
0.52,1267,1000,,0,0,0.2552826
0.54,1266,1002,,0,0,0.2501877
0.56,1263,1006,,0,0,0.506871
0.58,1261,1008,,0,0,0.2564712
0.6,1260,1010,,0,0,0.2511734
0.62,1258,1012,,0,0,0.2491791
0.64,1257,1014,,0,0,0.2527328
0.66,1254,1018,,0,0,0.5055359
0.68,1252,1020,,0,0,0.2526779
0.7,1251,1022,,0,0,0.2547546
0.72,1249,1024,,0,0,0.2507218
0.74,1248,1027,,0,0,0.2571304
0.76,1246,1029,,0,0,0.248346
0.78,1243,1033,,0,0,0.5107727
0.8,1242,1035,,0,0,0.2474518
0.82,1240,1037,,0,0,0.2528305
0.84,1239,1039,,0,0,0.2526291
0.86,1237,1041,,0,0,0.2607544
0.88,1234,1045,,0,0,0.4974549
0.9,1233,1047,,0,0,0.2538117
0.92,1231,1049,,0,0,0.2554031
0.94,1230,1051,,0,0,0.2489945
0.96,1228,1053,,0,0,0.2576202
0.98,1225,1057,,0,0,0.5005981
1,1223,1059,,0,0,0.2530106
1.02,1222,1061,,0,0,0.252449
1.04,1220,1063,,0,0,0.2579529
1.06,1219,1065,,0,0,0.2475281
1.08,1217,1067,,0,0,0.2527328
1.1,1214,1071,,0,0,0.5131531
1.12,1213,1073,,0,0,0.2450546
1.14,1211,1075,,0,0,0.2535828
1.16,1210,1077,,0,0,0.2532227
1.18,1208,1079,,0,0,0.2514084
1.2,1205,1083,,0,0,0.5076767
1.22,1204,1085,,0,0,0.2505478
1.24,1202,1087,,0,0,0.2541275
1.26,1201,1089,,0,0,0.2551575
1.28,1199,1091,,0,0,0.2489288
1.3,1196,1095,,0,0,0.5068879
