sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1325,813,,0,0,0.007996046
0.06,1325,813,,0,0,0
0.08,1325,813,,0,0,0
0.09999999,1325,813,,0,0,0
0.12,1325,813,,0,0,0
0.14,1325,813,,0,0,0
0.16,1325,813,,0,0,0
0.18,1325,813,,0,0,0
0.2,1325,813,,0,0,0
0.22,1325,813,,0,0,0
0.24,1325,813,,0,0,0
0.26,1325,813,,0,0,0
0.28,1325,813,,0,0,0
0.3,1324,814,,0,0,0.2172935
0.32,1323,815,,0,0,0.1055629
0.34,1323,816,,0,0,0.1112394
0.36,1322,817,,0,0,0.116916
0.38,1321,819,,0,0,0.2508709
0.4,1320,820,,0,0,0.1362025
0.42,1319,821,,0,0,0.1395893
0.44,1318,822,,0,0,0.1446123
0.46,1317,824,,0,0,0.1494555
0.48,1316,826,,0,0,0.3189894
0.5,1315,828,,0,0,0.1680101
0.52,1314,829,,0,0,0.1776974
0.54,1313,831,,0,0,0.1753539
0.56,1312,832,,0,0,0.1850562
0.58,1311,834,,0,0,0.1907183
0.6,1308,837,,0,0,0.3984828
0.62,1307,839,,0,0,0.2091972
0.64,1306,840,,0,0,0.2119878
0.66,1305,842,,0,0,0.2242505
0.68,1303,844,,0,0,0.2196493
0.7,1301,848,,0,0,0.4670635
0.72,1299,850,,0,0,0.2427626
0.74,1298,852,,0,0,0.2461184
0.76,1297,854,,0,0,0.2531732
0.78,1295,856,,0,0,0.2588567
0.8,1292,861,,0,0,0.5364165
0.82,1290,863,,0,0,0.283299
0.84,1289,865,,0,0,0.2724934
0.86,1287,868,,0,0,0.2899682
0.88,1286,870,,0,0,0.2922088
0.9,1284,872,,0,0,0.2965823
0.92,1280,878,,0,0,0.6153131
0.94,1279,880,,0,0,0.3231789
0.96,1277,883,,0,0,0.3146484
0.98,1275,885,,0,0,0.3250255
1,1273,888,,0,0,0.3449358
1.02,1269,894,,0,0,0.6702625
1.04,1267,897,,0,0,0.3654463
1.06,1265,900,,0,0,0.3394493
1.08,1263,903,,0,0,0.3804562
1.1,1261,906,,0,0,0.347072
1.12,1257,912,,0,0,0.7531736
1.14,1255,915,,0,0,0.3804705
1.16,1253,918,,0,0,0.3887355
1.18,1250,921,,0,0,0.4006609
1.2,1248,925,,0,0,0.4018521
1.22,1246,928,,0,0,0.3980901
1.24,1241,935,,0,0,0.8285289
1.26,1238,938,,0,0,0.4226978
1.28,1236,942,,0,0,0.4283342
1.3,1233,945,,0,0,0.4339523
1.32,1231,949,,0,0,0.4502875
1.34,1225,956,,0,0,0.8853712
1.36,1223,960,,0,0,0.4603172
1.38,1220,963,,0,0,0.4583471
1.4,1217,967,,0,0,0.4678042
1.42,1214,971,,0,0,0.4734671
1.44,1208,979,,0,0,0.9639432
1.46,1206,983,,0,0,0.4904703
1.48,1203,987,,0,0,0.49907
1.5,1200,990,,0,0,0.4841193
1.52,1197,994,,0,0,0.4916072
1.54,1194,998,,0,0,0.4964707
1.56,1188,1006,,0,0,0.9783135
1.58,1185,1010,,0,0,0.4916306
1.6,1182,1014,,0,0,0.4915635
1.62,1179,1018,,0,0,0.4915943
1.64,1176,1022,,0,0,0.4917246
1.66,1171,1030,,0,0,0.9830647
1.68,1168,1034,,0,0,0.5046155
1.7,1165,1038,,0,0,0.4785623
1.72,1162,1042,,0,0,0.4916153
1.74,1159,1046,,0,0,0.4999121
1.76,1153,1054,,0,0,0.9748936
1.78,1150,1058,,0,0,0.4969974
1.8,1147,1062,,0,0,0.4861786
1.82,1145,1066,,0,0,0.4941288
1.84,1142,1070,,0,0,0.4907367
1.86,1139,1074,,0,0,0.4899232
1.88,1133,1082,,0,0,1.002385
1.9,1130,1086,,0,0,0.4731413
1.92,1127,1090,,0,0,0.5017657
1.94,1125,1094,,0,0,0.4806921
1.96,1122,1098,,0,0,0.4938766
1.98,1116,1106,,0,0,0.9738595
2,1114,1110,,0,0,0.4707839
2.02,1111,1114,,0,0,0.4716953
2.04,1108,1117,,0,0,0.4663551
2.06,1105,1121,,0,0,0.4610396
2.08,1100,1129,,0,0,0.9060452
2.1,1098,1132,,0,0,0.444884
2.12,1095,1136,,0,0,0.4452899
2.14,1092,1139,,0,0,0.446681
2.16,1090,1143,,0,0,0.4095927
2.18,1087,1146,,0,0,0.4246889
2.2,1082,1153,,0,0,0.8367957
2.22,1080,1156,,0,0,0.4162839
2.24,1078,1159,,0,0,0.3815566
2.26,1075,1162,,0,0,0.3953442
2.28,1073,1165,,0,0,0.3931982
2.3,1068,1171,,0,0,0.7596807
2.32,1066,1174,,0,0,0.3839518
2.34,1063,1177,,0,0,0.3894317
2.36,1061,1181,,0,0,0.3987508
2.38,1058,1184,,0,0,0.4158512
2.4,1056,1187,,0,0,0.3992856
2.42,1051,1194,,0,0,0.828206
2.44,1049,1197,,0,0,0.4022914
2.46,1046,1201,,0,0,0.431465
2.48,1044,1204,,0,0,0.4293219
2.5,1041,1208,,0,0,0.4300559
2.52,1036,1215,,0,0,0.8997912
2.54,1034,1219,,0,0,0.4444686
2.56,1031,1223,,0,0,0.4576943
2.58,1029,1226,,0,0,0.4448817
2.6,1027,1230,,0,0,0.4643687
2.62,1022,1238,,0,0,0.9221039
2.64,1019,1242,,0,0,0.4402994
2.66,1017,1246,,0,0,0.4517598
2.68,1015,1249,,0,0,0.4129479
2.7,1012,1253,,0,0,0.4315363
2.72,1010,1256,,0,0,0.420341
2.74,1006,1263,,0,0,0.8291439
2.76,1004,1267,,0,0,0.4099976
2.78,1001,1270,,0,0,0.4026662
2.8,999,1274,,0,0,0.3885069
2.82,997,1277,,0,0,0.3978738
2.84,993,1284,,0,0,0.8074024
2.86,991,1287,,0,0,0.3828837
2.88,989,1291,,0,0,0.396756
2.9,987,1294,,0,0,0.4151933
2.92,986,1298,,0,0,0.376988
2.94,982,1305,,0,0,0.8028672
2.96,980,1309,,0,0,0.4108219
2.98,978,1312,,0,0,0.4020376
3,977,1316,,0,0,0.4071302
3.02,975,1320,,0,0,0.4109858
3.04,974,1324,,0,0,0.4132285
3.06,971,1331,,0,0,0.8333198
3.08,969,1335,,0,0,0.4201828
3.1,968,1339,,0,0,0.4226494
3.12,966,1343,,0,0,0.4197124
3.14,965,1347,,0,0,0.4173307
3.16,963,1355,,0,0,0.8257016
3.18,961,1359,,0,0,0.4091255
3.2,960,1363,,0,0,0.4033857
3.22,959,1367,,0,0,0.4061411
3.24,958,1370,,0,0,0.3836803
3.26,956,1378,,0,0,0.7671067
3.28,955,1382,,0,0,0.3822991
3.3,954,1385,,0,0,0.3621136
3.32,953,1389,,0,0,0.3684243
3.34,952,1392,,0,0,0.3533823
3.36,951,1395,,0,0,0.3571489
3.38,949,1402,,0,0,0.7087259
3.4,948,1405,,0,0,0.3517534
3.42,947,1409,,0,0,0.3544166
3.44,946,1412,,0,0,0.3544066
3.46,945,1416,,0,0,0.3544215
3.48,943,1422,,0,0,0.7088064
3.5,942,1426,,0,0,0.3607917
3.52,940,1429,,0,0,0.3480447
3.54,939,1433,,0,0,0.354438
3.56,938,1436,,0,0,0.3487081
3.58,936,1442,,0,0,0.6804537
3.6,935,1446,,0,0,0.3365067
3.62,934,1449,,0,0,0.321238
3.64,933,1452,,0,0,0.3203649
3.66,932,1455,,0,0,0.3146887
3.68,931,1458,,0,0,0.3090473
3.7,929,1463,,0,0,0.6012872
3.72,929,1466,,0,0,0.2919573
3.74,928,1469,,0,0,0.2977424
3.76,927,1472,,0,0,0.3102487
3.78,926,1475,,0,0,0.3022546
3.8,924,1481,,0,0,0.6351268
3.82,923,1484,,0,0,0.332972
3.84,922,1487,,0,0,0.3247715
3.86,921,1490,,0,0,0.3448491
