sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1322,815,,0,0,0.4000039
0.06,1322,815,,0,0,0
0.08,1322,815,,0,0,0
0.09999999,1322,815,,0,0,0
0.12,1322,815,,0,0,0
0.14,1322,815,,0,0,0
0.16,1322,815,,0,0,0
0.18,1322,815,,0,0,0
0.2,1322,815,,0,0,0
0.22,1322,815,,0,0,0
0.24,1322,815,,0,0,0
0.26,1322,815,,0,0,0
0.28,1322,815,,0,0,0
0.3,1258,898,,0,0,10.53448
0.32,1252,907,,0,0,1.01097
0.34,1241,923,,0,0,2.021952
0.36,1235,932,,0,0,1.043112
0.38,1230,940,,0,0,0.9787666
0.4,1224,949,,0,0,1.010969
0.42,1219,957,,0,0,1.010948
0.44,1208,974,,0,0,2.021878
0.46,1202,983,,0,0,1.010948
0.48,1196,991,,0,0,1.010931
0.5,1191,999,,0,0,1.010969
0.52,1185,1008,,0,0,1.050268
0.54,1180,1016,,0,0,0.9716101
0.56,1168,1034,,0,0,2.070679
0.58,1163,1042,,0,0,0.962166
0.6,1158,1050,,0,0,1.019152
0.62,1152,1059,,0,0,1.002744
0.64,1147,1067,,0,0,1.010948
0.66,1135,1084,,0,0,2.053645
0.68,1130,1092,,0,0,0.9792236
0.7,1124,1101,,0,0,1.027315
0.72,1119,1109,,0,0,0.9945947
0.74,1113,1118,,0,0,1.010931
0.76,1102,1135,,0,0,2.028787
0.78,1097,1143,,0,0,1.004043
0.8,1091,1152,,0,0,1.010969
0.82,1086,1160,,0,0,1.011635
0.84,1080,1168,,0,0,1.010264
0.86,1074,1177,,0,0,1.010931
0.88,1063,1194,,0,0,2.021917
0.9,1058,1202,,0,0,1.010931
0.92,1052,1211,,0,0,1.064526
0.94,1047,1219,,0,0,0.957369
0.96,1041,1228,,0,0,1.010969
0.98,1030,1245,,0,0,2.02206
1,1024,1253,,0,0,1.010766
1.02,1019,1262,,0,0,1.022286
1.04,1013,1270,,0,0,0.999631
1.06,1008,1278,,0,0,1.011096
1.08,997,1295,,0,0,2.021734
1.1,990,1302,,1050,1354,0.9852343
1.12,985,1311,,0,0,1.006979
1.14,981,1320,,0,0,0.9804868
1.16,978,1329,,0,0,0.9948664
1.18,974,1339,,0,0,1.012046
1.2,967,1357,,0,0,1.969896
1.22,963,1366,,0,0,0.9903339
1.24,959,1376,,0,0,1.008837
1.26,955,1385,,0,0,1.00879
1.28,952,1394,,0,0,0.9532232
1.3,945,1413,,0,0,2.001069
1.32,941,1422,,0,0,0.9900442
1.34,938,1431,,0,0,0.9901001
1.36,934,1441,,0,0,1.036798
1.38,930,1450,,0,0,0.9494767
1.4,927,1459,,0,0,1.005156
1.42,920,1478,,0,0,2.005397
1.44,917,1487,,0,0,0.9712955
1.46,915,1496,,855,1450,0.9199064
1.48,914,1505,,820,1601,0.9411911
1.5,909,1514,,0,0,1.037617
1.52,896,1530,,0,0,2.024879
1.54,889,1537,,0,0,0.9847736
1.56,882,1544,,0,0,0.9713414
1.58,876,1552,,0,0,1.008604
1.6,869,1559,,0,0,0.9474652
1.62,855,1573,,0,0,1.991602
1.64,849,1580,,0,0,0.9803292
1.66,842,1587,,0,0,0.992064
1.68,835,1595,,0,0,0.9836662
1.7,829,1602,,0,0,0.9521646
1.72,822,1609,,0,0,0.9997438
1.74,808,1623,,0,0,1.964639
1.76,802,1630,,0,0,0.9769774
1.78,795,1637,,0,0,0.9895909
1.8,788,1644,,0,0,0.9661611
1.82,781,1651,,0,0,0.9758507
1.84,767,1665,,0,0,1.986971
1.86,761,1672,,0,0,0.9769017
1.88,754,1680,,0,0,0.9768141
1.9,747,1687,,0,0,0.9831769
1.92,740,1694,,0,0,0.9701159
1.94,726,1708,,0,0,1.986432
1.96,719,1715,,0,0,0.9763335
1.98,713,1722,,0,0,0.9762682
2,706,1729,,0,0,0.9760814
2.02,699,1736,,0,0,0.9953207
2.04,692,1742,,0,0,0.9564925
2.06,678,1756,,0,0,1.985618
2.08,671,1763,,0,0,0.9755115
2.1,664,1770,,0,0,0.9753631
2.12,657,1777,,0,0,0.9795398
2.14,650,1784,,0,0,0.9706673
2.16,642,1792,,0,0,1.152606
2.18,627,1805,,0,0,1.984586
2.2,620,1812,,0,0,0.9924845
2.22,613,1819,,0,0,0.9560565
2.24,606,1825,,0,0,0.9862321
2.26,599,1832,,0,0,0.9672356
2.28,584,1845,,0,0,1.977207
2.3,577,1852,,0,0,0.9729347
2.32,569,1858,,0,0,1.024799
2.34,562,1865,,0,0,0.9199328
2.36,555,1871,,0,0,0.9715682
2.38,548,1877,,0,0,0.9709764
2.4,532,1889,,0,0,1.979902
2.42,525,1896,,525,1897,0.9780056
2.44,517,1902,,460,1847,0.9496891
2.46,509,1908,,460,1847,0.9782012
2.48,500,1910,,0,0,0.960425
2.5,481,1909,,0,0,1.957975
2.52,471,1909,,0,0,1.007185
2.54,461,1909,,0,0,0.9710609
2.56,451,1909,,0,0,0.995214
2.58,441,1908,,0,0,0.9909699
2.6,421,1906,,0,0,2.004366
2.62,411,1906,,0,0,1.046833
2.64,401,1904,,310,1811,1.003448
2.66,391,1899,,0,0,1.035165
2.68,385,1893,,0,0,0.9379556
2.7,378,1885,splitTimeTracker 01,0,0,0.9679403
2.72,365,1871,,310,1811,1.951001
2.74,358,1864,,0,0,0.9719436
2.76,352,1857,,0,0,0.9597959
2.78,345,1850,,0,0,0.9766218
2.8,338,1843,,0,0,0.9805679
2.82,325,1828,,0,0,1.967161
2.84,318,1821,,0,0,1.025555
2.86,311,1815,,0,0,0.9404535
2.88,305,1807,,0,0,0.9823713
2.9,300,1799,,0,0,0.8994374
2.92,299,1780,,0,0,1.973196
2.94,299,1770,,0,0,0.9595748
2.96,298,1761,,0,0,0.9666041
2.98,298,1751,,0,0,0.9583323
3,298,1741,,0,0,0.9711587
3.02,298,1732,,0,0,0.9696603
3.04,298,1712,,0,0,1.964225
3.06,297,1702,,0,0,0.9780899
3.08,297,1693,,0,0,0.944189
3.1,297,1683,,0,0,0.9632549
3.12,297,1673,,0,0,0.9632363
3.14,297,1654,,0,0,1.974069
3.16,297,1644,,0,0,0.9632295
3.18,297,1634,,0,0,0.9836687
3.2,296,1625,,0,0,0.9426891
3.22,296,1615,,0,0,0.9631738
3.24,296,1595,,0,0,1.973996
3.26,296,1586,,0,0,0.9631214
3.28,296,1576,,0,0,0.9726834
3.3,296,1566,,0,0,0.9535495
3.32,295,1557,,0,0,0.9793435
3.34,295,1547,,0,0,0.946861
3.36,295,1527,,0,0,2.014114
3.38,295,1518,,0,0,0.9228575
3.4,295,1508,,0,0,0.9630069
3.42,295,1498,,0,0,0.974354
3.44,295,1488,,0,0,1.008021
3.46,295,1469,,0,0,1.940027
3.48,295,1460,,0,0,0.9404613
3.5,294,1450,,0,0,0.9795588
3.52,294,1440,,0,0,0.9462368
3.54,294,1431,,0,0,0.9629388
3.56,294,1411,,0,0,1.973742
3.58,294,1401,,0,0,0.9629021
3.6,294,1392,,0,0,0.9642568
3.62,294,1382,,0,0,0.9624841
3.64,294,1372,,0,0,1.002422
3.66,294,1363,,0,0,0.9222174
3.68,294,1343,,0,0,1.97406
3.7,293,1333,,0,0,0.9623806
3.72,293,1324,,0,0,0.9627745
3.74,293,1314,,0,0,0.9628326
3.76,293,1305,,0,0,0.9626925
3.78,293,1285,,0,0,1.986757
3.8,293,1275,,0,0,0.9543035
3.82,293,1266,,0,0,0.9578938
3.84,293,1256,,0,0,0.9626969
3.86,293,1246,,0,0,0.9626333
3.88,293,1237,,0,0,0.9658653
3.9,293,1217,,0,0,1.97024
3.92,293,1207,,0,0,0.9664097
3.94,293,1198,,0,0,0.9604114
