sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1325,813,,0,0,0.007996046
0.06,1325,813,,0,0,0
0.08,1325,813,,0,0,0
0.09999999,1325,813,,0,0,0
0.12,1325,813,,0,0,0
0.14,1325,813,,0,0,0
0.16,1325,813,,0,0,0
0.18,1325,813,,0,0,0
0.2,1325,813,,0,0,0
0.22,1325,813,,0,0,0
0.24,1325,813,,0,0,0
0.26,1325,813,,0,0,0
0.28,1325,813,,0,0,0
0.3,1324,814,,0,0,0.2114822
0.32,1323,815,,0,0,0.1030892
0.34,1322,817,,0,0,0.2232062
0.36,1321,818,,0,0,0.1201172
0.38,1321,819,,0,0,0.1286026
0.4,1320,820,,0,0,0.1287365
0.42,1319,821,,0,0,0.1386971
0.44,1318,823,,0,0,0.2896991
0.46,1317,825,,0,0,0.1582149
0.48,1316,826,,0,0,0.1562113
0.5,1315,827,,0,0,0.1724324
0.52,1314,829,,0,0,0.1681412
0.54,1312,832,,0,0,0.3553118
0.56,1311,833,,0,0,0.1902772
0.58,1310,835,,0,0,0.1987605
0.6,1309,837,,0,0,0.1926605
0.62,1307,838,,0,0,0.2063141
0.64,1306,840,,0,0,0.2099172
0.66,1304,844,,0,0,0.4389442
0.68,1302,845,,0,0,0.2299433
0.7,1301,847,,0,0,0.2317076
0.72,1300,849,,0,0,0.2438901
0.74,1298,851,,0,0,0.2410877
0.76,1295,856,,0,0,0.5064634
0.78,1294,858,,0,0,0.2620554
0.8,1292,860,,0,0,0.2677349
0.82,1291,862,,0,0,0.2736195
0.84,1289,864,,0,0,0.2788841
0.86,1286,869,,0,0,0.575202
0.88,1284,872,,0,0,0.3003471
0.9,1283,874,,0,0,0.3026638
0.92,1281,877,,0,0,0.3119387
0.94,1279,879,,0,0,0.3036109
0.96,1277,882,,0,0,0.3188301
0.98,1274,887,,0,0,0.6547047
1,1272,890,,0,0,0.335864
1.02,1270,893,,0,0,0.3527697
1.04,1268,896,,0,0,0.3359817
1.06,1266,899,,0,0,0.358146
1.08,1262,905,,0,0,0.717607
1.1,1260,908,,0,0,0.3699276
1.12,1258,911,,0,0,0.3756154
1.14,1255,914,,0,0,0.3812821
1.16,1253,917,,0,0,0.3890163
1.18,1249,924,,0,0,0.7902988
1.2,1246,927,,0,0,0.4075081
1.22,1244,930,,0,0,0.4048076
1.24,1242,934,,0,0,0.4224136
1.26,1239,937,,0,0,0.4170827
1.28,1237,941,,0,0,0.4238413
1.3,1232,948,,0,0,0.8702163
1.32,1230,952,,0,0,0.4437447
1.34,1227,955,,0,0,0.4494113
1.36,1225,959,,0,0,0.4634452
1.38,1222,963,,0,0,0.4524368
1.4,1217,971,,0,0,0.9471295
1.42,1214,975,,0,0,0.4776939
1.44,1211,979,,0,0,0.4750759
1.46,1208,983,,0,0,0.5013769
1.48,1206,987,,0,0,0.4826214
1.5,1203,991,,0,0,0.5005214
1.52,1197,999,,0,0,1.025902
1.54,1194,1004,,0,0,0.5097361
1.56,1191,1008,,0,0,0.5232345
1.58,1188,1012,,0,0,0.5441562
1.6,1185,1017,,0,0,0.5193467
1.62,1179,1026,,0,0,1.086218
1.64,1176,1030,,0,0,0.5575246
1.66,1173,1035,,0,0,0.5610074
1.68,1170,1040,,0,0,0.5533574
1.7,1167,1044,,0,0,0.5686586
1.72,1160,1054,,0,0,1.170747
1.74,1157,1059,,0,0,0.5783918
1.76,1154,1064,,0,0,0.5838954
1.78,1150,1068,,0,0,0.5954744
1.8,1147,1073,,0,0,0.6026689
1.82,1140,1084,,0,0,1.222473
1.84,1136,1089,,0,0,0.6197427
1.86,1133,1094,,0,0,0.6254559
1.88,1129,1099,,0,0,0.6415442
1.9,1126,1104,,0,0,0.6263778
1.92,1122,1110,,0,0,0.6424323
1.94,1115,1120,,0,0,1.301959
1.96,1111,1126,,0,0,0.6595271
1.98,1107,1131,,0,0,0.6801819
2,1104,1137,,0,0,0.6558191
2.02,1100,1143,,0,0,0.6765457
2.04,1092,1154,,0,0,1.375299
2.06,1088,1160,,0,0,0.6922988
2.08,1084,1165,,0,0,0.7052003
2.1,1080,1171,,0,0,0.6950321
2.12,1076,1177,,0,0,0.710587
2.14,1068,1189,,0,0,1.43823
2.16,1064,1195,,0,0,0.7303963
2.18,1060,1201,,0,0,0.7468123
2.2,1056,1207,,0,0,0.7227458
2.22,1052,1213,,0,0,0.7446509
2.24,1047,1220,,0,0,0.7746943
2.26,1039,1232,,0,0,1.500398
2.28,1035,1239,,0,0,0.7603541
2.3,1030,1245,,0,0,0.7730371
2.32,1026,1251,,0,0,0.7787285
2.34,1022,1258,,0,0,0.790855
2.36,1013,1271,,0,0,1.593255
2.38,1008,1278,,0,0,0.7895381
2.4,1004,1284,,0,0,0.8051215
2.42,999,1291,,0,0,0.862905
2.44,995,1296,,1050,1354,0.666752
2.46,989,1302,,0,0,0.8031973
2.48,979,1316,,0,0,1.653813
2.5,975,1323,,0,0,0.8495039
2.52,970,1329,,0,0,0.8009846
2.54,965,1336,,0,0,0.8530039
2.56,961,1343,,0,0,0.8089646
2.58,952,1358,,0,0,1.703556
2.6,947,1364,,0,0,0.8192253
2.62,943,1372,,0,0,0.8421211
2.64,938,1379,,0,0,0.8514857
2.66,934,1386,,0,0,0.8584861
2.68,925,1401,,0,0,1.703223
2.7,921,1408,,0,0,0.8360401
2.72,917,1416,,0,0,0.8884073
2.74,915,1423,,855,1450,0.7066709
2.76,914,1430,,0,0,0.7100826
2.78,913,1436,,0,0,0.6193641
2.8,911,1450,,0,0,1.478062
2.82,911,1457,,0,0,0.6664127
2.84,911,1464,,0,0,0.7410799
2.86,911,1472,,0,0,0.763031
2.88,911,1480,,0,0,0.7768707
2.9,911,1496,,0,0,1.568756
2.92,912,1504,,820,1601,0.8128667
2.94,911,1514,,0,0,1.069427
2.96,909,1523,,0,0,0.9055155
2.98,906,1532,,0,0,0.9052867
3,899,1548,,0,0,1.804459
3.02,896,1557,,0,0,0.9330252
3.04,893,1566,,0,0,0.9195513
3.06,890,1574,,0,0,0.8882905
3.08,887,1583,,0,0,0.9165584
3.1,884,1591,,0,0,0.9165806
3.12,876,1608,,0,0,1.803145
3.14,871,1615,,888,1597,0.890794
3.16,865,1621,,0,0,0.9028718
3.18,859,1628,,0,0,0.9141622
3.2,853,1635,,0,0,0.901884
3.22,841,1648,,0,0,1.72534
3.24,835,1653,,0,0,0.8279855
3.26,829,1660,,0,0,0.8683547
3.28,823,1665,,0,0,0.8198738
3.3,817,1671,,0,0,0.8492473
3.32,805,1684,,0,0,1.758703
3.34,799,1689,,851,1747,0.813051
3.36,792,1695,,851,1747,0.8583233
3.38,786,1701,,0,0,0.8755621
3.4,780,1708,,0,0,0.8776129
3.42,774,1713,,0,0,0.8345292
3.44,762,1727,,0,0,1.755537
3.46,756,1732,,0,0,0.8605744
3.48,749,1738,,0,0,0.8625416
3.5,743,1744,,0,0,0.87663
3.52,737,1750,,0,0,0.8625278
3.54,725,1763,,0,0,1.791872
3.56,718,1769,,0,0,0.8558463
3.58,712,1775,,0,0,0.8733041
3.6,706,1781,,0,0,0.8773404
3.62,699,1787,,0,0,0.9224121
3.64,687,1800,,688,1796,1.739017
3.66,680,1805,,0,0,0.8928818
3.68,674,1811,,0,0,0.8718137
3.7,667,1818,,0,0,0.912589
3.72,661,1824,,0,0,0.8653187
3.74,655,1830,,0,0,0.8976839
3.76,642,1843,,0,0,1.817086
3.78,635,1849,,0,0,0.8966175
3.8,629,1855,,0,0,0.9101966
3.82,622,1862,,0,0,0.9126084
3.84,616,1868,,0,0,0.9129131
3.86,603,1881,,0,0,1.831275
3.88,596,1887,,0,0,0.9291251
