sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1326,813,,0,0,155.5392
0.02,1326,813,,0,0,0
0.04,1325,813,,0,0,0.0200041
0.06,1325,813,,0,0,0
0.08,1325,813,,0,0,0
0.09999999,1325,813,,0,0,0
0.12,1325,813,,0,0,0
0.14,1325,813,,0,0,0
0.16,1325,813,,0,0,0
0.18,1325,813,,0,0,0
0.2,1325,813,,0,0,0
0.22,1325,813,,0,0,0
0.24,1325,813,,0,0,0
0.26,1325,813,,0,0,0
0.28,1325,813,,0,0,0
0.3,1322,817,,0,0,0.553551
0.32,1320,819,,0,0,0.2527441
0.34,1319,821,,0,0,0.2584888
0.36,1317,823,,0,0,0.2483972
0.38,1316,825,,0,0,0.2553358
0.4,1315,827,,0,0,0.2487611
0.42,1312,831,,0,0,0.5055698
0.44,1310,834,,0,0,0.2545232
0.46,1309,836,,0,0,0.2508264
0.48,1307,838,,0,0,0.2584275
0.5,1306,840,,0,0,0.2478173
0.52,1303,844,,0,0,0.5046809
0.54,1302,846,,0,0,0.2527479
0.56,1300,848,,0,0,0.252733
0.58,1299,850,,0,0,0.252733
0.6,1298,852,,0,0,0.2527479
0.62,1295,857,,0,0,0.5054682
0.64,1293,859,,0,0,0.252733
0.66,1292,861,,0,0,0.2531817
0.68,1290,863,,0,0,0.255302
0.7,1289,865,,0,0,0.2497388
0.72,1288,867,,0,0,0.2638045
0.74,1285,871,,0,0,0.4944094
0.76,1283,873,,0,0,0.252733
0.78,1282,875,,0,0,0.2561908
0.8,1281,877,,0,0,0.2492838
0.82,1279,880,,0,0,0.2528854
0.84,1276,884,,0,0,0.5058703
0.86,1275,886,,0,0,0.2557527
0.88,1273,888,,0,0,0.249178
0.9,1272,890,,0,0,0.2600695
0.92,1271,892,,0,0,0.2469265
0.94,1268,896,,0,0,0.5039488
0.96,1266,898,,0,0,0.2615804
0.98,1265,900,,0,0,0.2438942
1,1263,903,,0,0,0.2609647
1.02,1262,905,,0,0,0.2445205
1.04,1261,907,,0,0,0.2527267
1.06,1258,911,,0,0,0.5054746
1.08,1256,913,,0,0,0.2553083
1.1,1255,915,,0,0,0.250162
1.12,1253,917,,0,0,0.2654254
1.14,1252,919,,0,0,0.240045
1.16,1249,923,,0,0,0.5054809
1.18,1248,926,,0,0,0.2527373
1.2,1246,928,,0,0,0.2549401
1.22,1245,930,,0,0,0.2521723
1.24,1244,932,,0,0,0.2511015
1.26,1241,936,,0,0,0.5054809
1.28,1239,938,,0,0,0.2539075
1.3,1238,940,,0,0,0.2578011
1.32,1237,942,,0,0,0.2464927
1.34,1235,944,,0,0,0.2527373
1.36,1234,946,,0,0,0.2527542
1.38,1231,951,,0,0,0.5054577
1.4,1229,953,,0,0,0.2527373
1.42,1228,955,,0,0,0.2527373
1.44,1227,957,,0,0,0.2567028
1.46,1225,959,,0,0,0.2487823
1.48,1222,963,,0,0,0.5054746
1.5,1221,965,,0,0,0.2582137
1.52,1219,967,,0,0,0.2472566
1.54,1218,969,,0,0,0.2527373
1.56,1217,972,,0,0,0.254555
1.58,1215,974,,0,0,0.2533361
1.6,1212,978,,0,0,0.503695
1.62,1211,980,,0,0,0.2568679
1.64,1210,982,,0,0,0.2479634
1.66,1208,984,,0,0,0.2608779
1.68,1207,986,,0,0,0.244603
1.7,1204,990,,0,0,0.5103903
1.72,1202,992,,0,0,0.2495462
1.74,1201,995,,0,0,0.2514571
1.76,1200,997,,0,0,0.2559284
1.78,1198,999,,0,0,0.2490912
1.8,1195,1003,,0,0,0.5054746
1.82,1194,1005,,0,0,0.2564616
1.84,1193,1007,,0,0,0.249013
1.86,1191,1009,,0,0,0.263305
1.88,1190,1011,,0,0,0.2421759
1.9,1188,1013,,0,0,0.2544788
1.92,1185,1018,,0,0,0.5047038
1.94,1184,1020,,0,0,0.2515459
1.96,1183,1022,,0,0,0.251766
1.98,1181,1024,,0,0,0.2562647
2,1180,1026,,0,0,0.2492076
2.02,1177,1030,,0,0,0.5154899
2.04,1175,1032,,0,0,0.245532
2.06,1174,1034,,0,0,0.2499207
2.08,1173,1036,,0,0,0.253645
2.1,1171,1039,,0,0,0.263724
2.12,1168,1043,,0,0,0.4966779
2.14,1167,1045,,0,0,0.2501408
2.16,1166,1047,,0,0,0.2522336
2.18,1164,1049,,0,0,0.260389
2.2,1163,1051,,0,0,0.2437935
2.22,1161,1053,,0,0,0.2502405
2.24,1158,1057,,0,0,0.5001403
2.26,1157,1059,,0,0,0.2459089
2.28,1155,1061,,0,0,0.2465599
2.3,1154,1063,,0,0,0.2465625
2.32,1153,1065,,0,0,0.254282
2.34,1150,1069,,0,0,0.4856083
2.36,1148,1071,,0,0,0.2480267
2.38,1147,1073,,0,0,0.2449021
2.4,1145,1075,,0,0,0.2465411
2.42,1144,1077,,0,0,0.2525242
2.44,1141,1081,,0,0,0.4938434
2.46,1140,1083,,0,0,0.240043
2.48,1138,1085,,0,0,0.2487844
2.5,1137,1087,,0,0,0.2441823
2.52,1135,1089,,0,0,0.2468077
2.54,1134,1091,,0,0,0.246971
2.56,1131,1095,,0,0,0.4981553
2.58,1130,1097,,0,0,0.2390985
2.6,1128,1099,,0,0,0.2342066
2.62,1126,1101,,0,0,0.2419469
2.64,1125,1102,,0,0,0.2190653
2.66,1121,1105,,0,0,0.4614139
2.68,1120,1107,,0,0,0.2320419
2.7,1119,1109,,0,0,0.2317397
2.72,1117,1111,,0,0,0.2294614
2.74,1116,1113,,0,0,0.2378349
2.76,1115,1115,,0,0,0.2223482
2.78,1112,1118,,0,0,0.4662246
2.8,1111,1120,,0,0,0.2266662
2.82,1109,1122,,0,0,0.2275666
2.84,1108,1124,,0,0,0.2420095
2.86,1107,1126,,0,0,0.2420069
2.88,1104,1130,,0,0,0.4840045
2.9,1103,1132,,0,0,0.2506797
2.92,1101,1134,,0,0,0.2333342
2.94,1100,1136,,0,0,0.2420118
2.96,1098,1138,,0,0,0.25048
2.98,1096,1142,,0,0,0.4792084
3,1094,1144,,0,0,0.238331
3.02,1093,1146,,0,0,0.24696
3.04,1092,1148,,0,0,0.2446267
3.06,1090,1150,,0,0,0.2497224
3.08,1087,1154,,0,0,0.4994496
3.1,1086,1156,,0,0,0.2497229
3.12,1084,1159,,0,0,0.2551593
3.14,1083,1161,,0,0,0.2443045
3.16,1082,1163,,0,0,0.2497323
3.18,1080,1165,,0,0,0.2401863
3.2,1078,1168,,0,0,0.4711052
3.22,1076,1170,,0,0,0.2398251
3.24,1075,1172,,0,0,0.2343764
3.26,1074,1174,,0,0,0.2370993
3.28,1072,1176,,0,0,0.2307882
3.3,1070,1180,,0,0,0.4628182
3.32,1068,1182,,0,0,0.2437111
3.34,1067,1184,,0,0,0.2626857
3.36,1065,1186,,0,0,0.2226261
3.38,1064,1188,,0,0,0.2244727
3.4,1061,1192,,0,0,0.4651562
3.42,1060,1194,,0,0,0.2502599
3.44,1059,1196,,0,0,0.2470667
3.46,1057,1198,,0,0,0.2497395
3.48,1056,1200,,0,0,0.2497228
3.5,1054,1202,,0,0,0.2579887
3.52,1052,1206,,0,0,0.4911827
3.54,1050,1208,,0,0,0.2497231
3.56,1049,1210,,0,0,0.2497326
3.58,1047,1212,,0,0,0.2581598
3.6,1046,1214,,0,0,0.2475407
3.62,1043,1218,,0,0,0.4773419
3.64,1042,1220,,0,0,0.2514374
3.66,1041,1222,,0,0,0.2382448
3.68,1039,1224,,0,0,0.2368266
3.7,1038,1226,,0,0,0.2304794
3.72,1036,1230,,0,0,0.4091646
3.74,1035,1231,,0,0,0.1869601
3.76,1034,1233,,0,0,0.1695053
3.78,1033,1234,,0,0,0.1570354
3.8,1032,1235,,0,0,0.1502666
3.82,1031,1236,,0,0,0.1502553
