sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1359,639,,0,0,0.008000962
0.06,1359,639,,0,0,0
0.08,1359,639,,0,0,0
0.09999999,1359,639,,0,0,0
0.12,1359,639,,0,0,0
0.14,1359,639,,0,0,0
0.16,1359,639,,0,0,0
0.18,1359,639,,0,0,0
0.2,1359,639,,0,0,0
0.22,1359,639,,0,0,0
0.24,1359,639,,0,0,0
0.26,1359,639,,0,0,0
0.28,1359,639,,0,0,0
0.3,1358,641,,0,0,0.214603
0.32,1358,643,,0,0,0.1105541
0.34,1358,644,,0,0,0.1134753
0.36,1357,646,,0,0,0.2354188
0.38,1357,647,,0,0,0.1285265
0.4,1357,649,,0,0,0.1311738
0.42,1356,650,,0,0,0.1362573
0.44,1356,651,,0,0,0.145658
0.46,1355,654,,0,0,0.3092768
0.48,1355,656,,0,0,0.1549181
0.5,1355,657,,0,0,0.1666848
0.52,1354,659,,0,0,0.1723865
0.54,1354,661,,0,0,0.1780476
0.56,1353,665,,0,0,0.3749563
0.58,1353,666,,0,0,0.1932725
0.6,1352,668,,0,0,0.2038211
0.62,1352,670,,0,0,0.2033841
0.64,1351,672,,0,0,0.2121113
0.66,1351,675,,0,0,0.2277509
0.68,1350,679,,0,0,0.4426832
0.7,1350,681,,0,0,0.2347782
0.72,1349,684,,0,0,0.2403498
0.74,1349,686,,0,0,0.2459843
0.76,1348,689,,0,0,0.2515993
0.78,1347,694,,0,0,0.5200565
0.8,1347,696,,0,0,0.2685162
0.82,1346,699,,0,0,0.2741804
0.84,1345,702,,0,0,0.2866536
0.86,1345,704,,0,0,0.278538
0.88,1344,710,,0,0,0.5896199
0.9,1343,713,,0,0,0.3002506
0.92,1343,716,,0,0,0.3078613
0.94,1342,719,,0,0,0.3137105
0.96,1342,723,,0,0,0.3189069
0.98,1341,726,,0,0,0.3307603
1,1340,732,,0,0,0.6604739
1.02,1339,736,,0,0,0.3418926
1.04,1339,739,,0,0,0.3569224
1.06,1338,742,,0,0,0.3175033
1.08,1338,746,,0,0,0.3331297
1.1,1337,752,,0,0,0.6561887
1.12,1337,755,,0,0,0.325983
1.14,1337,759,,0,0,0.329417
1.16,1337,762,,0,0,0.33089
1.18,1337,765,,0,0,0.3075441
1.2,1337,771,,0,0,0.6377794
1.22,1337,775,,0,0,0.3320465
1.24,1337,778,,0,0,0.3007569
1.26,1337,781,,0,0,0.3147874
1.28,1337,784,,0,0,0.318689
1.3,1337,787,,0,0,0.3089001
1.32,1337,793,,0,0,0.6299914
1.34,1337,797,,0,0,0.3064794
1.36,1337,800,,0,0,0.3070908
1.38,1337,803,,0,0,0.3038248
1.4,1337,806,,0,0,0.2952584
