sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1358,643,,0,0,0.4000004
0.06,1358,643,,0,0,0
0.08,1358,643,,0,0,0
0.09999999,1358,643,,0,0,0
0.12,1358,643,,0,0,0
0.14,1358,643,,0,0,0
0.16,1358,643,,0,0,0
0.18,1358,643,,0,0,0
0.2,1358,643,,0,0,0
0.22,1358,643,,0,0,0
0.24,1358,643,,0,0,0
0.26,1358,643,,0,0,0
0.28,1358,643,,0,0,0
0.3,1335,748,,0,0,10.71756
0.32,1333,758,,0,0,1.029177
0.34,1329,778,,0,0,2.041711
0.36,1326,788,,0,0,0.9912069
0.38,1324,798,,0,0,1.010927
0.4,1322,808,,0,0,1.027388
0.42,1320,817,,0,0,0.9945245
0.44,1318,827,,0,0,1.010927
0.46,1314,847,,0,0,2.021965
0.48,1311,857,,0,0,1.010897
0.5,1309,867,,0,0,1.010967
0.52,1307,877,,0,0,1.039599
0.54,1305,886,,0,0,0.9830391
0.56,1301,906,,0,0,2.032514
0.58,1298,916,,0,0,1.000474
0.6,1296,926,,0,0,1.024648
0.62,1294,936,,0,0,1.042261
0.64,1292,946,,0,0,0.9650156
0.66,1288,966,,0,0,2.044125
0.68,1283,975,,0,0,1.001127
0.7,1279,984,,0,0,1.00478
0.72,1274,993,,0,0,1.032833
0.74,1269,1002,,0,0,0.9828221
0.76,1265,1011,,0,0,1.010969
0.78,1256,1029,,0,0,2.021879
0.8,1251,1038,,0,0,1.010952
0.82,1246,1047,,0,0,1.010952
0.84,1242,1056,,0,0,1.010969
0.86,1237,1065,,0,0,1.025767
0.88,1228,1083,,0,0,2.007634
0.9,1223,1092,,0,0,1.010392
0.92,1219,1101,,0,0,1.025047
0.94,1214,1110,,0,0,0.9968357
0.96,1210,1119,,0,0,1.010948
0.98,1200,1137,,0,0,2.055721
1,1196,1146,,1291,1049,0.99009
1.02,1191,1155,,0,0,1.006816
1.04,1189,1164,,0,0,1.002115
1.06,1187,1174,,0,0,1.019207
1.08,1185,1184,,0,0,1.002691
1.1,1181,1204,,0,0,2.02193
1.12,1179,1214,,0,0,1.010911
1.14,1177,1224,,0,0,1.010949
1.16,1175,1234,,0,0,1.010965
1.18,1173,1244,,0,0,1.019334
1.2,1169,1264,,0,0,2.050179
1.22,1167,1273,,0,0,0.9742621
1.24,1165,1283,,0,0,1.010965
1.26,1163,1293,,0,0,1.027756
1.28,1161,1303,,0,0,1.000837
1.3,1157,1323,,0,0,2.015983
1.32,1155,1333,,0,0,1.010178
1.34,1153,1343,,0,0,1.010973
1.36,1151,1353,,0,0,1.010941
1.38,1149,1363,,0,0,1.035665
1.4,1147,1372,,0,0,0.9862186
1.42,1143,1392,,0,0,2.021914
