sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1359,639,,0,0,0.008000962
0.06,1359,639,,0,0,0
0.08,1359,639,,0,0,0
0.09999999,1359,639,,0,0,0
0.12,1359,639,,0,0,0
0.14,1359,639,,0,0,0
0.16,1359,639,,0,0,0
0.18,1359,639,,0,0,0
0.2,1359,639,,0,0,0
0.22,1359,639,,0,0,0
0.24,1359,639,,0,0,0
0.26,1359,639,,0,0,0
0.28,1359,639,,0,0,0
0.3,1358,641,,0,0,0.2155952
0.32,1358,643,,0,0,0.1367571
0.34,1358,644,,0,0,0.1117392
0.36,1357,645,,0,0,0.1186184
0.38,1357,648,,0,0,0.2537312
0.4,1357,649,,0,0,0.1313848
0.42,1356,650,,0,0,0.1412555
0.44,1356,652,,0,0,0.144684
0.46,1356,653,,0,0,0.1586577
0.48,1355,655,,0,0,0.1499678
0.5,1355,658,,0,0,0.3335135
0.52,1354,660,,0,0,0.1732902
0.54,1354,661,,0,0,0.1786252
0.56,1354,663,,0,0,0.1855823
0.58,1353,665,,0,0,0.1920139
0.6,1352,669,,0,0,0.4071722
0.62,1352,671,,0,0,0.1997521
0.64,1351,673,,0,0,0.2139327
0.66,1351,675,,0,0,0.2196237
0.68,1350,677,,0,0,0.2259104
0.7,1349,682,,0,0,0.4669977
0.72,1349,684,,0,0,0.2423311
0.74,1348,687,,0,0,0.2480146
0.76,1348,689,,0,0,0.2536832
0.78,1347,692,,0,0,0.2653017
0.8,1347,694,,0,0,0.2592111
0.82,1346,700,,0,0,0.5470465
0.84,1345,702,,0,0,0.2820336
0.86,1344,705,,0,0,0.2895609
0.88,1344,708,,0,0,0.2925044
0.9,1343,711,,0,0,0.2982284
0.92,1342,717,,0,0,0.6152402
0.94,1341,720,,0,0,0.3161453
0.96,1340,723,,0,0,0.3248129
0.98,1340,727,,0,0,0.3296779
1,1339,730,,0,0,0.328008
1.02,1338,737,,0,0,0.6902683
1.04,1337,740,,0,0,0.3433256
1.06,1336,743,,0,0,0.3558809
1.08,1335,747,,0,0,0.3650889
1.1,1335,750,,0,0,0.3637119
1.12,1334,754,,0,0,0.3729272
1.14,1332,762,,0,0,0.7628751
1.16,1331,765,,0,0,0.3929618
1.18,1330,769,,0,0,0.392625
1.2,1330,773,,0,0,0.4013075
1.22,1329,777,,0,0,0.4149733
1.24,1327,785,,0,0,0.8275253
1.26,1326,789,,0,0,0.4195421
1.28,1325,794,,0,0,0.4472893
1.3,1324,798,,0,0,0.4177762
1.32,1323,802,,0,0,0.4431458
1.34,1321,811,,0,0,0.8970628
1.36,1320,815,,0,0,0.4580968
1.38,1319,820,,0,0,0.463758
1.4,1318,825,,0,0,0.4934192
