sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,1359,639,,0,0,150.2254
0.02,1359,639,,0,0,0
0.04,1359,639,,0,0,0.02000102
0.06,1359,639,,0,0,0
0.08,1359,639,,0,0,0
0.09999999,1359,639,,0,0,0
0.12,1359,639,,0,0,0
0.14,1359,639,,0,0,0
0.16,1359,639,,0,0,0
0.18,1359,639,,0,0,0
0.2,1359,639,,0,0,0
0.22,1359,639,,0,0,0
0.24,1359,639,,0,0,0
0.26,1359,639,,0,0,0
0.28,1359,639,,0,0,0
0.3,1359,639,,0,0,0
0.32,1357,645,,0,0,0.5670182
0.34,1356,650,,0,0,0.505478
0.36,1356,652,,0,0,0.2565862
0.38,1355,655,,0,0,0.2488959
0.4,1355,657,,0,0,0.2595852
0.42,1354,660,,0,0,0.2460227
0.44,1353,665,,0,0,0.508966
0.46,1353,667,,0,0,0.249107
0.48,1352,670,,0,0,0.2536683
0.5,1352,672,,0,0,0.2517948
0.52,1351,675,,0,0,0.2527539
0.54,1350,680,,0,0,0.5054705
0.56,1349,682,,0,0,0.252739
0.58,1349,685,,0,0,0.2650651
0.6,1348,687,,0,0,0.2426796
0.62,1348,689,,0,0,0.2504732
0.64,1347,692,,0,0,0.2569784
0.66,1346,697,,0,0,0.506241
0.68,1346,699,,0,0,0.2484739
0.7,1345,702,,0,0,0.2519802
0.72,1345,704,,0,0,0.2527539
0.74,1344,707,,0,0,0.2527315
0.76,1343,712,,0,0,0.5054705
0.78,1342,714,,0,0,0.2527315
0.8,1342,717,,0,0,0.2527315
0.82,1341,719,,0,0,0.2527464
0.84,1341,722,,0,0,0.2593113
0.86,1340,725,,0,0,0.2999986
0.88,1339,728,,0,0,0.2999986
0.9,1338,732,,0,0,0.5054929
0.92,1338,735,,0,0,0.2545017
0.94,1337,737,,0,0,0.250973
0.96,1337,740,,0,0,0.2546828
0.98,1336,742,,0,0,0.2508174
1,1336,745,,0,0,0.2527208
1.02,1335,750,,0,0,0.5069667
1.04,1334,752,,0,0,0.251247
1.06,1334,755,,0,0,0.252739
1.08,1333,757,,0,0,0.252739
1.1,1332,760,,0,0,0.2659092
1.12,1331,765,,0,0,0.4922938
1.14,1331,767,,0,0,0.252739
1.16,1330,770,,0,0,0.2527315
1.18,1330,772,,0,0,0.2527464
1.2,1329,774,,0,0,0.2527912
1.22,1329,777,,0,0,0.2567045
1.24,1328,782,,0,0,0.5014388
1.26,1327,784,,0,0,0.252739
1.28,1327,787,,0,0,0.252739
1.3,1326,789,,0,0,0.252739
1.32,1326,792,,0,0,0.252739
1.34,1324,797,,0,0,0.505478
1.36,1324,799,,0,0,0.252739
1.38,1323,802,,0,0,0.2550942
1.4,1323,804,,0,0,0.2503805
1.42,1322,807,,0,0,0.2527464
