sep=,
Time,x-Position,y-Position,SplitTimes,Distance,Collision
0,1005,175,0,,
0.02,1005,175,0,,
0.04,1005,175,0,,
0.06,1005,175,0,,
0.08,1005,175,0,,
0.09999999,1005,175,0,,
0.12,1005,175,0,,
0.14,1005,175,0,,
0.16,1005,175,0,,
0.18,1005,175,0,,
0.2,1005,175,0,,
0.22,1005,175,0,,
0.24,1005,175,0,,
0.26,1005,175,0,,
0.28,1005,175,0,,
0.3,1005,175,0,,
0.32,1005,175,0,,
0.34,1005,175,0,,
0.36,1004,176,0,,
0.38,1004,176,0,,
0.4,1004,176,0,,
0.42,1004,176,0,,
0.44,1004,176,0,,
0.46,1004,176,0,,
0.48,1004,176,0,,
0.5,1004,176,0,,
0.52,1004,176,0,,
0.54,1004,176,0,,
0.56,1004,176,0,,
0.58,1004,176,0,,
0.6,1004,176,0,,
0.62,1004,176,0,,
0.64,1004,176,0,,
0.66,1004,176,0,,
0.68,1004,176,0,,
