sep=,
Time,x-Position,y-Position,SplitTimes,Collision
0,1005,175,,
0.02,1005,175,,
0.04,1005,175,,
0.06,1005,175,,
0.08,1005,175,,
0.09999999,1005,175,,
0.12,1005,175,,
0.14,1005,175,,
0.16,1005,175,,
0.18,1005,175,,
0.2,1005,175,,
0.22,1005,175,,
0.24,1005,175,,
0.26,1005,175,,
0.28,1005,175,,
0.3,1004,176,,
0.32,1004,177,,
0.34,1004,177,,
0.36,1004,178,,
0.38,1004,179,,
0.4,1003,180,,
0.42,1003,180,,
0.44,1003,181,,
0.46,1003,182,,
0.48,1002,183,,
0.5,1002,184,,
0.52,1002,185,,
0.54,1001,185,,
0.56,1001,186,,
0.58,1000,188,,
0.6,1000,189,,
0.62,1000,190,,
0.64,999,191,,
0.66,999,192,,
0.68,999,193,,
0.7,998,195,,
0.72,997,196,,
0.74,997,198,,
0.76,997,199,,
0.78,996,200,,
0.8,995,202,,
0.82,995,204,,
0.84,995,205,,
0.86,994,206,,
0.88,994,208,,
0.9,993,209,,
0.92,992,212,,
0.94,992,213,,
0.96,991,215,,
0.98,991,216,,
1,990,218,,
1.02,989,221,,
1.04,988,223,,
1.06,988,224,,
1.08,987,226,,
1.1,987,228,,
1.12,985,231,,
1.14,985,233,,
1.16,984,235,,
1.18,984,237,,
1.2,983,239,,
1.22,982,240,,
1.24,981,244,,
1.26,980,246,,
1.28,980,248,,
1.3,979,250,,
1.32,978,252,,
1.34,977,257,,
1.36,976,259,,
1.38,975,261,,
1.4,975,263,,
1.42,974,265,,
1.44,972,270,,
1.46,971,272,,
1.48,971,274,,
1.5,970,277,,
1.52,969,279,,
1.54,967,284,,
1.56,966,286,,
1.58,966,289,,
1.6,965,291,,
1.62,964,294,,
1.64,963,296,,
1.66,961,301,,
1.68,960,304,,
1.7,959,307,,
1.72,958,309,,
1.74,958,312,,
1.76,956,318,,
1.78,955,320,,
1.8,954,323,,
1.82,953,326,,
1.84,952,329,,
1.86,950,335,,
1.88,949,338,,
1.9,948,341,,
1.92,947,344,,
1.94,946,347,,
1.96,945,350,,
1.98,942,356,,
2,941,359,,
2.02,940,362,,
2.04,939,365,,
2.06,938,369,,
2.08,936,375,,
2.1,935,378,,
2.12,934,382,,
2.14,932,385,,
2.16,931,388,,
2.18,930,392,,
2.2,928,399,,
2.22,926,402,,
2.24,926,404,Wall_773_469,
2.26,929,409,,
2.28,931,413,,
2.3,929,420,,
2.32,928,424,,
2.34,927,428,,
2.36,926,431,,
2.38,925,435,,
2.4,921,442,,
2.42,920,446,,
2.44,919,449,,
2.46,917,453,,
2.48,916,457,,
2.5,913,460,Wall_1059_405,
2.52,906,466,,
2.54,899,467,Wall_1000_500,
2.56,895,468,,
2.58,890,470,,
2.6,886,473,,
2.62,877,478,,
2.64,871,480,,
2.66,865,481,,
2.68,859,484,,
2.7,853,486,,
2.72,843,491,,
2.74,836,492,,
2.76,830,495,,
2.78,823,497,,
2.8,818,499,,
2.82,811,501,,
2.84,801,506,,
2.86,793,508,,
2.88,787,510,,
2.9,781,512,,
2.92,775,515,,
2.94,764,520,,
2.96,757,522,,
2.98,750,524,,
3,744,526,,
3.02,737,528,,
3.04,727,534,,
3.06,721,537,,
3.08,716,540,,
3.1,711,542,,
3.12,706,545,,
3.14,700,548,,
3.16,690,553,,
3.18,685,556,,
3.2,679,559,,
3.22,674,561,,
3.24,668,564,,
3.26,657,569,,
3.28,652,572,,
3.3,646,575,,
3.32,640,577,,
3.34,634,579,,
3.36,623,585,,
3.38,617,587,,
3.4,611,590,,
3.42,605,592,,
3.44,599,594,,
3.46,592,597,,
3.48,581,602,,
3.5,574,604,,
3.52,568,606,,
3.54,562,608,,
3.56,556,610,,
3.58,543,615,,
3.6,537,617,,
3.62,530,619,,
3.64,524,621,,
3.66,518,623,,
3.68,505,628,,
3.7,499,629,,
3.72,492,631,,
3.74,485,633,,
3.76,479,635,,
3.78,472,637,,
3.8,460,641,,
3.82,453,643,,
3.84,446,644,,
3.86,440,646,,
