sep=,
Time,x-Position,y-Position,Collision,SplitTimes
0,1005,175,,
0.02,1005,175,,
0.04,1005,175,,
0.06,1005,175,,
0.08,1005,175,,
0.09999999,1005,175,,
0.12,1005,175,,
0.14,1005,175,,
0.16,1005,175,,
0.18,1005,175,,
0.2,1005,175,,
0.22,1005,175,,
0.24,1005,175,,
0.26,1005,175,,
0.28,1005,175,,
0.3,1004,176,,
0.32,1004,177,,
0.34,1004,178,,
0.36,1004,178,,
0.38,1004,179,,
0.4,1003,179,,
0.42,1003,180,,
0.44,1003,181,,
0.46,1002,182,,
0.48,1002,183,,
0.5,1002,184,,
0.52,1002,184,,
0.54,1001,186,,
0.56,1001,187,,
0.58,1000,188,,
0.6,1000,189,,
0.62,1000,190,,
0.64,999,191,,
0.66,999,193,,
0.68,998,194,,
0.7,998,195,,
0.72,998,196,,
0.74,997,197,,
0.76,996,200,,
0.78,996,201,,
0.8,996,202,,
0.82,995,203,,
0.84,995,205,,
0.86,994,207,,
0.88,993,209,,
0.9,993,210,,
0.92,992,212,,
0.94,992,213,,
0.96,991,214,,
0.98,990,217,,
1,990,219,,
1.02,989,221,,
1.04,989,222,,
1.06,988,224,,
1.08,987,227,,
1.1,986,229,,
1.12,986,231,,
1.14,985,232,,
1.16,984,234,,
1.18,983,238,,
1.2,982,240,,
1.22,982,242,,
1.24,981,244,,
1.26,980,246,,
1.28,980,248,,
1.3,978,252,,
1.32,978,254,,
1.34,977,256,,
1.36,976,258,,
1.38,976,260,,
1.4,974,264,,
1.42,973,267,,
1.44,972,269,,
1.46,972,271,,
1.48,971,274,,
1.5,969,278,,
1.52,968,281,,
1.54,968,283,,
1.56,967,285,,
1.58,966,288,,
1.6,965,290,,
1.62,963,295,,
1.64,962,298,,
1.66,962,301,,
1.68,961,303,,
1.7,960,306,,
1.72,958,311,,
1.74,957,314,,
1.76,956,317,,
1.78,955,319,,
1.8,954,322,,
1.82,952,328,,
1.84,951,331,,
1.86,950,334,,
1.88,949,337,,
1.9,948,340,,
1.92,947,343,,
1.94,945,349,,
1.96,944,352,,
1.98,943,355,,
2,942,358,,
2.02,941,361,,
2.04,938,367,,
2.06,937,371,,
2.08,936,374,,
2.1,935,377,,
2.12,934,381,,
2.14,932,387,,
2.16,930,391,,
2.18,929,394,,
2.2,928,397,,
2.22,927,401,,
2.24,926,404,Wall_773_469,
2.26,929,411,,
2.28,930,415,,
2.3,930,418,,
2.32,929,421,,
2.34,929,425,,
2.36,927,432,,
2.38,926,435,,
2.4,925,438,,
2.42,924,442,,
2.44,923,445,,
2.46,920,452,,
2.48,919,455,,
2.5,917,458,Wall_1059_405,
