sep=,
Time,x-Position,y-Position,Distance,Collision
0,1,0,41.9693,
0.02,1,0,41.96975,Checkpoint Ziel
0.04,1,0,41.97422,
0.06,1,0,41.97422,
0.08,1,0,41.97422,
0.09999999,1,0,41.97422,
0.12,1,0,41.97422,
0.14,1,0,41.97422,
0.16,1,0,41.97422,
0.18,1,0,41.97422,
0.2,1,0,41.97422,
0.22,1,0,41.97422,
0.24,1,0,41.97422,
0.26,1,0,41.97422,
0.28,1,0,41.97422,
0.3,1,0,41.97422,
0.32,1,0,41.97422,
0.34,1,0,41.97422,
0.36,1,0,42.1273,
0.38,1,0,42.1273,
0.4,1,0,42.27138,
0.42,1,0,42.33913,
0.44,1,0,42.4095,
0.46,1,0,42.55849,
0.48,1,0,42.63709,
0.5,1,0,42.71839,
0.52,1,0,42.80243,
0.54,1,0,42.91057,
0.56,1,0,43.05099,
0.58,1,0,43.1454,
0.6,1,0,43.24252,
0.62,1,0,43.34237,
0.64,1,1,43.55023,
0.66,1,1,43.65826,
0.68,1,1,43.769,
0.7,1,1,43.88248,
0.72,1,1,44.06821,
0.74,1,1,44.18877,
0.76,1,1,44.31207,
0.78,1,1,44.56685,
0.8,1,1,44.69833,
0.82,1,1,44.83253,
0.84,1,1,44.96945,
0.86,1,1,45.10912,
0.88,1,1,45.33771,
0.9,1,1,45.48449,
0.92,1,1,45.63401,
0.94,1,1,45.94123,
0.96,1,1,46.09893,
0.98,1,1,46.25937,
1,1,1,46.42253,
1.02,1,1,46.58844,
1.04,1,1,46.83952,
1.06,1,1,47.01223,
1.08,1,1,47.36585,
1.1,1,1,47.54676,
1.12,1,1,47.73042,
1.14,1,1,47.9168,
1.16,1,1,48.10591,
1.18,1,1,48.29776,
1.2,1,1,48.60888,
1.22,1,1,48.80786,
1.24,1,1,49.214,
1.26,1,1,49.42118,
1.28,1,1,49.6311,
1.3,1,1,49.84375,
1.32,1,1,50.05921,
1.34,1,1,50.27728,
1.36,1,1,50.59915,
1.38,1,1,51.05163,
1.4,1,1,51.28197,
1.42,1,1,51.51508,
1.44,1,1,51.75091,
1.46,1,1,51.98948,
1.48,1,1,52.47483,
1.5,1,1,52.47483,
1.52,1,1,53.068,
1.54,1,1,53.32135,
1.56,1,1,53.57743,
1.58,1,1,53.83627,
1.6,1,1,54.09784,
1.62,1,1,54.62923,
1.64,1,1,54.89902,
1.66,1,1,55.32394,
1.68,1,1,55.60077,
1.7,1,1,55.88035,
1.72,1,1,56.16267,
1.74,1,1,56.44773,
1.76,1,1,57.02612,
1.78,1,1,57.3194,
1.8,1,1,57.61544,
1.82,1,1,58.05649,
1.84,1,1,58.35936,
1.86,1,1,58.66493,
1.88,1,1,58.97328,
1.9,1,1,59.59822,
1.92,1,1,59.9148,
1.94,1,1,60.23506,
1.96,1,1,60.55624,
1.98,1,1,61.03943,
2,1,1,61.36834,
2.02,1,1,61.70002,
2.04,1,1,62.03442,
2.06,1,1,62.71149,
2.08,1,1,63.05415,
2.1,1,1,63.39953,
2.12,1,1,63.7477,
2.14,1,1,64.26463,
2.16,1,1,64.61959,
2.18,1,1,64.97729,
2.2,1,1,65.7026,
2.22,1,1,66.06687,
2.24,1,1,66.43558,
2.26,1,1,66.80701,
2.28,1,1,67.18122,
2.3,1,1,67.60589,
2.32,1,1,67.5052,
2.34,1,1,67.30785,
2.36,1,1,67.21127,
2.38,1,1,67.11617,
2.4,1,1,67.02261,
2.42,1,1,66.84029,
2.44,1,1,66.84029,
2.46,1,1,66.63056,
2.48,1,1,66.54623,
2.5,1,1,66.46378,
2.52,1,1,66.38329,
2.54,1,1,66.30481,
2.56,1,1,66.15411,
2.58,1,1,66.08202,
2.6,1,1,66.08202,
2.62,1,1,65.90955,
2.64,1,1,65.84527,
2.66,1,1,65.78426,
2.68,1,1,65.72538,
2.7,1,1,65.66909,
2.72,1,1,65.56453,
2.74,1,1,65.51638,
2.76,1,1,65.44885,
2.78,1,1,65.40798,
2.8,1,1,65.37011,
2.82,1,1,65.3353,
2.84,1,1,65.30361,
2.86,1,1,65.24981,
2.88,1,1,65.22796,
2.9,1,1,65.20943,
2.92,1,1,65.18832,
2.94,1,1,65.17845,
2.96,1,1,65.17219,
2.98,1,1,65.16959,
3,1,1,65.16952,
3.02,1,1,65.16952,
3.04,1,1,65.16953,
3.06,1,1,65.16953,
3.08,1,1,65.16953,
3.1,1,1,65.16953,
3.12,1,1,65.16953,
3.14,1,1,65.16953,
3.16,1,1,65.17313,
3.18,1,1,65.19385,
3.2,1,1,65.21846,
3.22,1,1,65.22973,
3.24,1,1,65.24888,
3.26,1,1,65.26579,
3.28,1,1,65.28647,
3.3,1,1,65.31093,
3.32,1,1,65.37116,
3.34,1,1,65.40692,
3.36,1,1,65.44643,
3.38,1,1,65.4897,
3.4,1,1,65.56533,
3.42,1,1,65.61821,
3.44,1,1,65.6748,
3.46,1,1,65.7991,
3.48,1,1,65.86678,
3.5,1,1,65.93814,
3.52,1,1,66.01317,
3.54,1,1,66.09185,
3.56,1,1,66.21214,
3.58,1,1,66.29971,
3.6,1,1,66.48563,
3.62,1,1,66.58396,
3.64,1,1,66.68585,
3.66,1,1,66.79128,
3.68,1,1,66.90025,
3.7,1,1,67.01271,
3.72,1,1,67.18234,
3.74,1,1,67.4278,
3.76,1,1,67.55567,
3.78,1,1,67.68695,
3.8,1,1,67.82162,
3.82,1,1,68.0604,
3.84,1,2,68.20417,
3.86,1,2,68.42359,
3.88,1,2,68.57555,
3.9,1,2,68.73076,
3.92,1,2,68.8892,
3.94,1,2,69.05087,
3.96,1,2,69.38375,
3.98,1,2,69.55489,
4,1,2,69.72919,
4.02,1,2,69.99618,
4.04,1,2,70.17816,
4.06,1,2,70.36319,
4.08,1,2,70.55123,
4.1,1,2,70.93631,
