sep=,
Time,x-Position,y-Position,Distance,Collision
0,1,0,41.9693,
0.02,1,0,41.97042,Checkpoint Ziel
0.04,1,0,42.01185,
0.06,1,0,42.01185,
0.08,1,0,42.01185,
0.09999999,1,0,42.01185,
0.12,1,0,42.01185,
0.14,1,0,42.01185,
0.16,1,0,42.01185,
0.18,1,0,42.01185,
0.2,1,0,42.01185,
0.22,1,0,42.01185,
0.24,1,0,42.01185,
0.26,1,0,42.01185,
0.28,1,0,42.01185,
0.3,1,0,42.01185,
0.32,1,0,42.01185,
0.34,1,0,42.01185,
0.36,1,0,43.3526,
0.38,1,0,43.3526,
0.4,1,1,43.8865,
0.42,1,1,44.133,
0.44,1,1,44.62599,
0.46,1,1,44.87253,
0.48,1,1,45.1191,
0.5,1,1,45.36567,
0.52,1,1,45.61228,
0.54,1,1,45.94873,
0.56,1,1,46.37474,
0.58,1,1,46.62144,
0.6,1,1,46.86814,
0.62,1,1,47.11488,
0.64,1,1,47.60838,
0.66,1,1,47.85517,
0.68,1,1,48.10194,
0.7,1,1,48.34877,
0.72,1,1,48.72562,
0.74,1,1,48.97249,
0.76,1,1,49.21937,
0.78,1,1,49.46625,
0.8,1,1,49.96009,
0.82,1,1,50.20702,
0.84,1,1,50.45399,
0.86,1,1,50.70094,
0.88,1,1,51.08574,
0.9,1,1,51.33276,
0.92,1,1,51.57992,
0.94,1,1,52.07385,
0.96,1,1,52.32093,
0.98,1,1,52.56798,
1,1,1,52.81507,
1.02,1,1,53.06216,
1.04,1,1,53.41899,
1.06,1,1,53.66612,
1.08,1,1,54.16043,
1.1,1,1,54.40761,
1.12,1,1,54.65479,
1.14,1,1,54.90197,
1.16,1,1,55.1492,
1.18,1,1,55.3964,
1.2,1,1,55.75745,
1.22,1,1,56.25197,
1.24,1,1,56.49923,
1.26,1,1,56.74652,
1.28,1,1,56.99382,
1.3,1,1,57.24111,
1.32,1,1,57.73573,
1.34,1,1,57.73573,
1.36,1,1,58.35754,
1.38,1,1,58.60487,
1.4,1,1,58.85224,
1.42,1,1,59.09963,
1.44,1,1,59.347,
1.46,1,1,59.84179,
1.48,1,1,60.08921,
1.5,1,1,60.08921,
1.52,1,1,60.70353,
1.54,1,1,60.95097,
1.56,1,1,61.19843,
1.58,1,1,61.44588,
1.6,1,1,61.94082,
1.62,1,1,62.18829,
1.64,1,1,62.4358,
1.66,1,1,62.79086,
1.68,1,1,63.03838,
1.7,1,1,63.2859,
1.72,1,1,63.53342,
1.74,1,1,64.0285,
1.76,1,1,64.27605,
1.78,1,1,64.5236,
1.8,1,1,64.77116,
1.82,1,1,65.14748,
1.84,1,1,65.39507,
1.86,1,1,65.64265,
1.88,1,1,65.89025,
1.9,1,1,66.38546,
1.92,1,1,66.6331,
1.94,1,1,66.88069,
1.96,1,1,67.12833,
1.98,1,1,67.51353,
2,1,1,67.59631,
2.02,1,1,67.53074,
2.04,1,1,67.40217,
2.06,1,1,67.33916,
2.08,1,1,67.27703,
2.1,1,1,67.21574,
2.12,1,1,67.15533,
2.14,1,1,67.06555,
2.16,1,1,67.00732,
