sep=,
Time,x-Position,y-Position,Distance,Collision
0,1,0,41.9693,
0.02,1,0,41.96975,Checkpoint Ziel
0.04,1,0,41.97422,
0.06,1,0,41.97422,
0.08,1,0,41.97422,
0.09999999,1,0,41.97422,
0.12,1,0,41.97422,
0.14,1,0,41.97422,
0.16,1,0,41.97422,
0.18,1,0,41.97422,
0.2,1,0,41.97422,
0.22,1,0,41.97422,
0.24,1,0,41.97422,
0.26,1,0,41.97422,
0.28,1,0,41.97422,
0.3,1,0,41.97422,
0.32,1,0,41.97422,
0.34,1,0,41.97422,
0.36,1,0,42.1273,
0.38,1,0,42.1273,
0.4,1,0,42.27664,
0.42,1,0,42.34458,
0.44,1,0,42.41523,
0.46,1,0,42.5647,
0.48,1,0,42.64352,
0.5,1,0,42.72507,
0.52,1,0,42.80933,
0.54,1,0,42.80933,
0.56,1,0,43.0177,
0.58,1,0,43.11123,
0.6,1,0,43.30643,
0.62,1,0,43.40813,
0.64,1,1,43.51254,
0.66,1,1,43.61968,
0.68,1,1,43.72955,
0.7,1,1,43.89919,
0.72,1,1,44.01595,
0.74,1,1,44.25749,
0.76,1,1,44.38238,
0.78,1,1,44.51,
0.8,1,1,44.64035,
0.82,1,1,44.77343,
0.84,1,1,44.90924,
0.86,1,1,45.13968,
0.88,1,1,45.28276,
0.9,1,1,45.42859,
0.92,1,1,45.7284,
0.94,1,1,45.8824,
0.96,1,1,46.03912,
0.98,1,1,46.19857,
1,1,1,46.36076,
1.02,1,1,46.63405,
1.04,1,1,46.80351,
1.06,1,1,46.9757,
1.08,1,1,47.32829,
1.1,1,1,47.50869,
1.12,1,1,47.69182,
1.14,1,1,47.87768,
1.16,1,1,48.06628,
1.18,1,1,48.37255,
1.2,1,1,48.56828,
1.22,1,1,48.96793,
1.24,1,1,49.17186,
1.26,1,1,49.37854,
1.28,1,1,49.58795,
1.3,1,1,49.80008,
1.32,1,1,50.01503,
1.34,1,1,50.34635,
1.36,1,1,50.56814,
1.38,1,1,51.01997,
1.4,1,1,51.24997,
1.42,1,1,51.48273,
1.44,1,1,51.71823,
1.46,1,1,52.19744,
1.48,1,1,52.19744,
1.5,1,1,52.5703,
1.52,1,1,53.06889,
1.54,1,1,53.32228,
1.56,1,1,53.57844,
1.58,1,1,53.83736,
1.6,1,1,54.09895,
1.62,1,1,54.63044,
1.64,1,1,54.63044,
1.66,1,1,55.28434,
1.68,1,1,55.56083,
1.7,1,1,55.84005,
1.72,1,1,56.122,
1.74,1,1,56.40672,
1.76,1,1,56.98437,
1.78,1,1,57.27731,
1.8,1,1,57.71261,
1.82,1,1,58.01234,
1.84,1,1,58.31485,
1.86,1,1,58.62005,
1.88,1,1,58.92804,
1.9,1,1,59.55223,
1.92,1,1,59.86844,
1.94,1,1,60.18739,
1.96,1,1,60.67674,
1.98,1,1,61.00264,
2,1,1,61.33127,
2.02,1,1,61.66123,
2.04,1,1,62.32117,
2.06,1,1,62.65118,
2.08,1,1,62.98117,
2.1,1,1,63.3112,
2.12,1,1,63.80498,
2.14,1,1,64.13504,
2.16,1,1,64.46511,
2.18,1,1,65.12531,
2.2,1,1,65.4554,
2.22,1,1,65.78553,
2.24,1,1,66.11566,
2.26,1,1,66.44579,
2.28,1,1,66.91828,
2.3,1,1,67.24845,
2.32,1,1,67.55713,
2.34,1,1,67.47058,
2.36,1,1,67.38554,
2.38,1,1,67.30204,
2.4,1,1,67.22005,
2.42,1,1,67.13961,
2.44,1,1,67.02007,
2.46,1,1,66.94352,
2.48,1,1,66.7951,
2.5,1,1,66.72323,
2.52,1,1,66.65292,
2.54,1,1,66.58421,
2.56,1,1,66.45149,
2.58,1,1,66.45149,
2.6,1,1,66.35781,
2.62,1,1,66.23617,
2.64,1,1,66.17776,
2.66,1,1,66.12094,
2.68,1,1,66.06574,
2.7,1,1,65.95994,
2.72,1,1,65.90987,
2.74,1,1,65.90987,
2.76,1,1,65.79139,
2.78,1,1,65.74677,
2.8,1,1,65.70377,
2.82,1,1,65.66244,
2.84,1,1,65.62274,
2.86,1,1,65.54829,
2.88,1,1,65.51356,
2.9,1,1,65.46574,
2.92,1,1,65.4351,
2.94,1,1,65.40611,
2.96,1,1,65.37878,
2.98,1,1,65.35313,
3,1,1,65.30684,
3.02,1,1,65.28621,
3.04,1,1,65.26726,
3.06,1,1,65.24067,
3.08,1,1,65.22605,
3.1,1,1,65.2131,
3.12,1,1,65.20184,
3.14,1,1,65.18436,
3.16,1,1,65.17815,
3.18,1,1,65.17361,
3.2,1,1,65.17076,
3.22,1,1,65.16957,
3.24,1,1,65.16957,
3.26,1,1,65.16957,
3.28,1,1,65.16957,
3.3,1,1,65.16957,
3.32,1,1,65.16957,
3.34,1,1,65.16957,
3.36,1,1,65.16957,
3.38,1,1,65.16957,
3.4,1,1,65.16957,
3.42,1,1,65.16957,
3.44,1,1,65.16958,
3.46,1,1,65.16958,
3.48,1,1,65.17005,
3.5,1,1,65.17216,
3.52,1,1,65.18049,
3.54,1,1,65.20493,
3.56,1,1,65.22135,
3.58,1,1,65.2342,
3.6,1,1,65.24215,
3.62,1,1,65.25178,
3.64,1,1,65.2631,
3.66,1,1,65.27608,
3.68,1,1,65.29076,
3.7,1,1,65.31488,
3.72,1,1,65.35409,
3.74,1,1,65.37621,
3.76,1,1,65.4,
3.78,1,1,65.42545,
3.8,1,1,65.45258,
3.82,1,1,65.4951,
3.84,1,1,65.54367,
3.86,1,1,65.57743,
3.88,1,1,65.61286,
3.9,1,1,65.68864,
3.92,1,1,65.72901,
3.94,1,1,65.77101,
3.96,1,1,65.81467,
3.98,1,1,65.85995,
4,1,1,65.92798,
4.02,1,1,65.97725,
4.04,1,1,66.08066,
4.06,1,1,66.1348,
4.08,1,1,66.19055,
4.1,1,1,66.24792,
