sep=,
Time,x-Position,y-Position
Time: 0,Position: 0,-1
Time: 0.02,Position: 0,-1
Time: 0.04,Position: 0,-1
Time: 0.06,Position: 0,-1
Time: 0.08,Position: 0,-1
Time: 0.09999999,Position: 0,-1
Time: 0.12,Position: 0,-1
Time: 0.14,Position: 0,-1
Time: 0.16,Position: 0,-1
Time: 0.18,Position: 0,-1
Time: 0.2,Position: 0,-1
Time: 0.22,Position: 0,-1
Time: 0.24,Position: 0,-1
Time: 0.26,Position: 0,-1
Time: 0.28,Position: 0,-1
Time: 0.3,Position: 0,-1
Time: 0.32,Position: 0,-1
Time: 0.34,Position: 0,-1
Time: 0.36,Position: 0,-1
Time: 0.38,Position: 0,-1
Time: 0.4,Position: 0,-1
Time: 0.42,Position: 0,-1
Time: 0.44,Position: 0,-1
Time: 0.46,Position: 0,-1
Time: 0.48,Position: 0,-1
Time: 0.5,Position: 0,-1
Time: 0.52,Position: 0,-1
Time: 0.54,Position: 0,-1
Time: 0.56,Position: 0,-1
Time: 0.58,Position: 0,-1
Time: 0.6,Position: 0,-1
Time: 0.62,Position: 0,-1
Time: 0.64,Position: 0,-1
Time: 0.66,Position: 0,-1
Time: 0.68,Position: 0,-1
Time: 0.7,Position: 0,-1
Time: 0.72,Position: 0,-1
Time: 0.74,Position: 0,-1
Time: 0.76,Position: 0,-1
Time: 0.78,Position: 0,-1
Time: 0.8,Position: 0,-1
Time: 0.82,Position: 0,-1
Time: 0.84,Position: 0,-1
Time: 0.86,Position: 0,-1
Time: 0.88,Position: 0,-1
Time: 0.9,Position: 0,-1
Time: 0.92,Position: 0,-1
Time: 0.94,Position: 0,-1
Time: 0.96,Position: 0,-1
Time: 0.98,Position: 0,-1
Time: 1,Position: 0,-1
Time: 1.02,Position: 0,-1
Time: 1.04,Position: 0,-1
Time: 1.06,Position: 0,-1
Time: 1.08,Position: 0,-1
Time: 1.1,Position: 0,-1
Time: 1.12,Position: 0,-1
Time: 1.14,Position: 0,-1
Time: 1.16,Position: 0,-1
Time: 1.18,Position: 0,-1
Time: 1.2,Position: 0,-1
Time: 1.22,Position: 0,-1
Time: 1.24,Position: 0,-1
Time: 1.26,Position: 0,-1
Time: 1.28,Position: 0,-1
Time: 1.3,Position: 0,-1
Time: 1.32,Position: 0,-1
Time: 1.34,Position: 0,-1
Time: 1.36,Position: 0,-1
Time: 1.38,Position: 0,-1
Time: 1.4,Position: 0,-1
Time: 1.42,Position: 0,-1
Time: 1.44,Position: 0,-1
Time: 1.46,Position: 0,-1
Time: 1.48,Position: 0,-1
Time: 1.5,Position: 0,-1
Time: 1.52,Position: 0,-1
Time: 1.54,Position: 0,-1
Time: 1.56,Position: 0,-1
Time: 1.58,Position: 0,-1
Time: 1.6,Position: 0,-1
Time: 1.62,Position: 0,-1
Time: 1.64,Position: 0,-1
Time: 1.66,Position: 0,-1
Time: 1.68,Position: 0,-1
Time: 1.7,Position: 0,-1
Time: 1.72,Position: 0,-1
Time: 1.74,Position: 0,-1
Time: 1.76,Position: 0,-1
Time: 1.78,Position: 0,-1
Time: 1.8,Position: 0,-1
Time: 1.82,Position: 0,-1
Time: 1.84,Position: 0,-1
Time: 1.86,Position: 0,-1
Time: 1.88,Position: 0,-1
Time: 1.9,Position: 0,-1
Time: 1.92,Position: 0,-1
Time: 1.94,Position: 0,-1
Time: 1.96,Position: 0,-1
Time: 1.98,Position: 0,-1
Time: 2,Position: 0,-1
Time: 2.02,Position: 0,-1
Time: 2.04,Position: 0,-1
Time: 2.06,Position: 0,-1
Time: 2.08,Position: 0,-1
Time: 2.1,Position: 0,-1
Time: 2.12,Position: 0,-1
Time: 2.14,Position: 0,-1
Time: 2.16,Position: 0,-1
Time: 2.18,Position: 0,-1
Time: 2.2,Position: 0,-1
Time: 2.22,Position: 0,-1
Time: 2.24,Position: 0,-1
Time: 2.26,Position: 0,-1
Time: 2.28,Position: 0,-1
Time: 2.3,Position: 0,-1
Time: 2.32,Position: 0,-1
Time: 2.34,Position: 0,-1
Time: 2.36,Position: 0,-1
Time: 2.38,Position: 0,-1
Time: 2.4,Position: 0,-1
Time: 2.42,Position: 0,-1
Time: 2.44,Position: 0,-1
Time: 2.46,Position: 0,-1
Time: 2.48,Position: 0,-1
Time: 2.5,Position: 0,-1
Time: 2.52,Position: 0,-1
Time: 2.54,Position: 0,-1
Time: 2.56,Position: 0,-1
Time: 2.58,Position: 0,-1
Time: 2.6,Position: 0,-1
Time: 2.62,Position: 0,-1
Time: 2.64,Position: 0,-1
Time: 2.66,Position: 0,-1
Time: 2.68,Position: 0,-1
Time: 2.7,Position: 0,-1
Time: 2.72,Position: 0,-1
Time: 2.74,Position: 0,-1
Time: 2.76,Position: 0,-1
Time: 2.78,Position: 0,-1
Time: 2.8,Position: 0,-1
Time: 2.82,Position: 0,0
Time: 2.84,Position: 0,0
Time: 2.86,Position: 0,0
Time: 2.88,Position: 0,0
Time: 2.9,Position: 0,0
Time: 2.92,Position: 0,0
Time: 2.94,Position: 0,0
Time: 2.96,Position: 0,0
Time: 2.98,Position: 0,0
Time: 3,Position: 0,0
Time: 3.02,Position: 0,0
Time: 3.04,Position: 0,0
Time: 3.06,Position: 0,0
Time: 3.08,Position: 0,0
Time: 3.1,Position: 0,0
Time: 3.12,Position: 0,0
Time: 3.14,Position: 0,0
Time: 3.16,Position: 0,0
Time: 3.18,Position: 0,0
Time: 3.2,Position: 0,0
Time: 3.22,Position: 0,0
Time: 3.24,Position: 0,0
Time: 3.26,Position: 0,0
Time: 3.28,Position: 0,0
Time: 3.3,Position: 0,0
Time: 3.32,Position: 0,0
Time: 3.34,Position: 0,0
Time: 3.36,Position: 0,0
Time: 3.38,Position: 0,0
Time: 3.4,Position: 0,0
Time: 3.42,Position: 0,0
Time: 3.44,Position: 0,0
Time: 3.46,Position: 0,0
Time: 3.48,Position: 0,0
Time: 3.5,Position: 0,0
Time: 3.52,Position: 0,0
Time: 3.54,Position: 0,0
Time: 3.56,Position: 0,0
Time: 3.58,Position: 0,0
Time: 3.6,Position: 0,0
Time: 3.62,Position: 0,0
Time: 3.64,Position: 0,0
Time: 3.66,Position: 0,0
Time: 3.68,Position: 0,0
Time: 3.7,Position: 0,0
Time: 3.72,Position: 0,0
Time: 3.74,Position: 0,0
Time: 3.76,Position: 0,0
Time: 3.78,Position: 0,0
Time: 3.8,Position: 0,0
Time: 3.82,Position: -1,0
Time: 3.84,Position: -1,0
Time: 3.86,Position: -1,0
Time: 3.88,Position: -1,0
Time: 3.9,Position: -1,0
