sep=,
Time,x-Position,y-Position,Distance,Collision
0,10,1,0,
0.02,10,1,0,
0.04,10,1,0,
0.06,10,1,0,
0.08,10,1,0,
0.09999999,10,1,0,
0.12,10,1,0,
0.14,10,1,0,
0.16,10,1,0,
0.18,10,1,0,
0.2,10,1,0,
0.22,10,1,0,
0.24,10,1,0,
0.26,10,1,0,
0.28,10,1,0,
0.3,10,1,0,
0.32,10,1,0,
0.34,10,1,0,
0.36,10,1,0,
0.38,10,1,0,
0.4,10,1,0,
0.42,10,1,0,
0.44,10,1,0,
0.46,10,1,0,
0.48,10,1,0,
0.5,10,1,0,
0.52,10,1,0,
0.54,10,1,0,
0.56,10,1,0,
0.58,10,1,0,
0.6,10,1,0,
0.62,10,1,0,
0.64,10,1,0,
0.66,10,1,0,
0.68,9,1,0,
0.7,9,1,0,
0.72,9,1,0,
0.74,9,1,0,
0.76,9,2,0,
0.78,9,2,0,
0.8,9,2,0,
0.82,9,2,0,
0.84,9,2,0,
0.86,9,2,0,
0.88,9,2,0,
0.9,9,2,0,
0.92,9,2,0,
0.94,9,2,0,
0.96,9,2,0,
0.98,9,2,0,
1,9,2,0,
1.02,9,2,0,
1.04,9,2,0,
1.06,9,2,0,
1.08,9,2,0,
1.1,9,2,0,
1.12,9,2,0,
1.14,9,2,0,
1.16,9,2,0,
1.18,9,2,0,
1.2,9,2,0,
1.22,9,2,0,
1.24,9,2,0,
1.26,9,2,0,
1.28,9,2,0,
1.3,9,2,0,
1.32,9,2,0,
1.34,9,2,0,
1.36,9,2,0,
1.38,9,2,0,
1.4,9,3,0,
1.42,9,3,0,
1.44,9,3,0,
1.46,9,3,0,
1.48,9,3,0,
1.5,9,3,0,
1.52,9,3,0,
1.54,9,3,0,
1.56,9,3,0,
1.58,9,3,0,
1.6,9,3,0,
1.62,9,3,0,
1.64,9,3,0,
1.66,9,3,0,
1.68,9,3,0,
1.7,9,3,0,
1.72,9,3,0,
1.74,9,3,0,
1.76,9,3,0,
1.78,9,3,0,
1.8,9,4,0,
1.82,9,4,0,
1.84,9,4,0,
1.86,9,4,0,
1.88,9,4,0,
1.9,9,4,0,
1.92,9,4,0,
1.94,9,4,0,
1.96,9,4,0,
1.98,9,4,0,
2,9,4,0,
2.02,9,4,0,
2.04,9,4,0,
2.06,9,4,0,
2.08,9,4,0,
2.1,9,4,0,
2.12,9,4,0,
2.14,9,4,0,
2.16,9,5,0,
2.18,9,5,0,
2.2,9,5,0,
2.22,9,5,0,
2.24,9,5,0,
2.26,9,5,0,
2.28,9,5,0,
2.3,9,5,0,Wall_08_06
2.32,9,5,0,
2.34,9,5,0,
2.36,9,5,0,
2.38,9,5,0,
2.4,9,5,0,
2.42,9,5,0,
2.44,9,5,0,
2.46,9,6,0,
2.48,9,6,0,
2.5,9,6,0,
2.52,9,6,0,
2.54,9,6,0,
2.56,9,6,0,Wall_10_07
2.58,9,6,0,Wall_10_07
2.6,9,6,0,
2.62,9,6,0,
2.64,9,6,0,
2.66,9,6,0,
2.68,9,6,0,
2.7,9,6,0,
2.72,9,6,0,
2.74,9,6,0,
2.76,9,6,0,
2.78,9,6,0,
2.8,8,6,0,
2.82,8,6,0,
2.84,8,6,0,
2.86,8,7,0,
2.88,8,7,0,
2.9,8,7,0,
2.92,8,7,0,
2.94,8,7,0,
2.96,8,7,0,
2.98,8,7,0,
3,8,7,0,
3.02,8,7,0,
3.04,8,7,0,
3.06,8,7,0,
3.08,8,7,0,
3.1,8,7,0,
3.12,8,7,0,
3.14,8,7,0,
3.16,8,7,0,
3.18,8,7,0,
3.2,8,7,0,
3.22,8,7,0,
3.24,8,7,0,
3.26,8,7,0,
3.28,8,8,0,
3.3,7,8,0,
3.32,7,8,0,
3.34,7,8,0,
3.36,7,8,0,
3.38,7,8,0,
3.4,7,8,0,
3.42,7,8,0,
3.44,7,8,0,
3.46,7,8,0,
3.48,7,8,0,
3.5,7,8,0,
3.52,7,8,0,
3.54,7,8,0,
3.56,7,8,0,
3.58,7,8,0,
3.6,7,8,0,
3.62,7,8,0,
3.64,7,8,0,
3.66,7,9,0,
3.68,7,9,0,
3.7,7,9,0,
3.72,7,9,0,
3.74,7,9,0,
3.76,7,9,0,
3.78,6,9,0,
3.8,6,9,0,
3.82,6,9,0,
3.84,6,9,0,
3.86,6,9,0,
3.88,6,9,0,
3.9,6,9,0,
3.92,6,9,0,
3.94,6,9,0,
3.96,6,9,0,
3.98,6,9,0,
4,6,9,0,
4.02,6,9,0,
4.04,6,9,0,
4.06,6,9,0,
4.08,6,9,0,
4.1,6,9,0,
4.12,6,9,0,
4.14,6,9,0,
4.16,6,9,0,
4.18,5,9,0,
4.2,5,9,0,
4.22,5,9,0,
4.24,5,9,0,
4.26,5,9,0,
4.28,5,9,0,
4.3,5,9,0,
4.32,5,9,0,
4.34,5,9,0,
4.36,5,9,0,
4.38,5,9,0,
4.4,5,9,0,
4.42,5,9,0,
4.44,5,9,0,
4.46,5,9,0,
4.48,5,9,0,
4.5,5,9,0,
4.52,5,9,0,
4.54,4,9,0,
4.56,4,9,0,
4.58,4,9,0,
4.6,4,9,0,
4.62,4,9,0,
4.64,4,9,0,
4.66,4,9,0,
4.68,4,9,0,
4.7,4,9,0,
4.72,4,9,0,
4.74,4,9,0,
4.76,4,9,0,
4.78,4,9,0,
4.8,4,9,0,
4.82,4,9,0,
4.84,4,9,0,
4.86,4,9,0,
4.88,4,9,0,
4.9,3,9,0,
4.92,3,9,0,
4.94,3,9,0,
4.96,3,9,0,
4.98,3,9,0,
5,3,9,0,
5.02,3,9,0,
5.04,3,9,0,
5.06,3,9,0,
5.08,3,9,0,
5.1,3,9,0,
5.12,3,9,0,
5.14,3,9,0,
5.16,3,9,0,
5.18,3,9,0,
5.2,3,9,0,
5.22,3,9,0,
5.24,2,9,0,
5.26,2,9,0,
5.28,2,9,0,
5.3,2,9,0,
5.32,2,9,0,
5.34,2,9,0,
5.36,2,9,0,
5.38,2,9,0,
5.4,2,9,0,
5.42,2,9,0,
5.44,2,9,0,
5.46,2,9,0,
5.48,2,9,0,
5.5,2,9,0,
5.52,2,9,0,
5.54,2,9,0,
5.56,2,9,0,
5.58,2,9,0,
5.6,2,9,0,
5.62,1,9,0,
5.64,1,9,0,
5.66,1,9,0,
5.68,1,9,0,
5.7,1,9,0,
5.72,1,9,0,
5.74,1,9,0,
5.76,1,9,0,
5.78,1,9,0,
5.8,1,9,0,
5.82,1,9,0,
5.84,1,9,0,
5.86,1,9,0,
5.88,1,9,0,
5.9,1,9,0,
5.92,1,9,0,
5.94,1,9,0,
5.96,1,9,0,
5.98,1,9,0,
6,1,9,0,
6.02,0,9,0,
6.04,0,9,0,
6.06,0,9,0,
6.08,0,9,0,
6.1,0,9,0,
6.12,0,9,0,
6.14,0,9,0,
6.16,0,9,0,
6.18,0,9,0,
6.2,0,9,0,
6.22,0,9,0,
6.24,0,8,0,
6.26,0,8,0,
6.28,0,8,0,
6.3,0,8,0,
6.32,0,8,0,
6.34,0,8,0,
6.36,0,8,0,
6.38,0,8,0,
6.4,0,8,0,
6.42,0,8,0,
6.44,0,8,0,
6.46,0,8,0,
6.48,0,8,0,
6.5,0,8,0,
6.52,-1,8,0,
6.54,-1,8,0,
6.56,-1,8,0,
6.58,-1,8,0,
6.6,-1,8,0,
6.62,-1,8,0,
6.64,-1,8,0,
6.66,-1,8,0,
6.68,-1,8,0,
6.7,-1,8,0,
6.72,-1,8,0,
6.74,-1,8,0,
6.76,-1,8,0,
6.78,-1,8,0,
6.8,-1,8,0,
6.82,-1,8,0,
6.84,-1,8,0,
6.86,-1,8,0,
6.88,-1,8,0,
6.9,-1,8,0,
6.92,-1,7,0,
6.94,-1,7,0,
6.96,-1,7,0,
6.98,-1,7,0,
7,-1,7,0,
7.02,-1,7,0,
7.04,-1,7,0,
7.06,-1,7,0,
7.08,-1,7,0,
7.1,-1,7,0,
7.12,-1,7,0,
7.14,-1,7,0,
7.16,-1,7,0,
7.18,-1,7,0,Wall_-1_07
7.2,-1,7,0,
7.22,-1,7,0,
7.24,-1,7,0,
7.26,-1,7,0,
7.28,-1,7,0,
7.3,-1,7,0,
7.32,-1,7,0,
7.34,-1,7,0,
7.36,-1,7,0,
7.38,-1,7,0,
7.4,-1,7,0,
7.42,-1,7,0,
7.44,-1,7,0,
7.46,-1,7,0,
7.48,-1,7,0,
7.5,-1,7,0,
7.52,-1,7,0,
7.54,-1,7,0,
7.56,-1,7,0,
7.58,-1,7,0,
7.6,-1,7,0,
7.62,-1,7,0,
7.64,-1,7,0,
7.66,-1,7,0,
7.68,-1,7,0,
7.7,-1,7,0,
7.72,-1,7,0,
7.74,-1,7,0,
7.76,-1,7,0,
7.78,-1,7,0,
7.8,-1,7,0,
7.82,-1,7,0,
7.84,-1,7,0,
7.86,-1,7,0,
7.88,-1,7,0,
7.9,-1,7,0,
7.92,-1,7,0,
7.94,-1,7,0,
7.96,-1,7,0,
7.98,-1,7,0,
8,-1,7,0,
8.02,-1,7,0,
8.04,-1,7,0,
8.059999,-1,7,0,
8.08,-1,7,0,Wall_00_07
8.099999,-1,7,0,
8.12,-1,7,0,
8.139999,-1,7,0,
8.16,-1,7,0,
8.179999,-1,7,0,
8.2,-1,7,0,
8.22,-1,7,0,
8.24,-1,7,0,
8.26,-1,7,0,
8.28,-1,7,0,
