sep=,
Time,x-Position,y-Position,SplitTimes,Collision
0,1005,175,,
0.02,1005,175,,
0.04,1005,175,,
0.06,1005,175,,
0.08,1005,175,,
0.09999999,1005,175,,
0.12,1005,175,,
0.14,1005,175,,
0.16,1005,175,,
0.18,1005,176,,
0.2,1004,176,,
0.22,1004,177,,
0.24,1004,177,,
0.26,1004,177,,
0.28,1004,178,,
0.3,1004,178,,
0.32,1003,179,,
0.34,1003,180,,
0.36,1003,180,,
0.38,1003,181,,
0.4,1003,182,,
0.42,1002,183,,
0.44,1002,184,,
0.46,1002,184,,
0.48,1001,185,,
0.5,1001,186,,
0.52,1001,187,,
0.54,1000,188,,
0.56,1000,189,,
0.58,1000,190,,
0.6,999,191,,
0.62,999,192,,
0.64,998,194,,
0.66,998,195,,
0.68,998,196,,
0.7,997,197,,
0.72,997,198,,
0.74,996,200,,
0.76,996,202,,
0.78,995,203,,
0.8,995,204,,
0.82,994,205,,
0.84,994,207,,
0.86,993,209,,
0.88,993,211,,
0.9,992,212,,
0.92,992,213,,
0.94,991,215,,
0.96,990,218,,
0.98,990,219,,
1,989,221,,
1.02,988,223,,
1.04,988,224,,
1.06,987,228,,
1.08,986,229,,
1.1,986,231,,
1.12,985,233,,
1.14,984,234,,
1.16,983,238,,
1.18,982,240,,
1.2,982,242,,
1.22,981,244,,
1.24,981,246,,
1.26,980,248,,
1.28,978,252,,
1.3,978,254,,
1.32,977,256,,
1.34,976,258,,
1.36,976,260,,
1.38,974,264,,
1.4,973,266,,
1.42,973,269,,
1.44,972,271,,
1.46,971,273,,
1.48,970,275,,
1.5,969,280,,
1.52,968,283,,
1.54,967,285,,
1.56,966,287,,
1.58,965,290,,
1.6,964,295,,
1.62,963,297,,
1.64,962,300,,
1.66,961,302,,
1.68,960,305,,
1.7,958,310,,
1.72,957,313,,
1.74,956,316,,
1.76,955,318,,
1.78,954,321,,
1.8,953,324,,
1.82,951,330,,
1.84,950,333,,
1.86,949,335,,
1.88,948,338,,
1.9,947,341,,
1.92,945,347,,
1.94,944,350,,
1.96,943,354,,
1.98,942,357,,
2,941,360,,
2.02,939,366,,
2.04,938,369,,
2.06,937,372,,
2.08,936,376,,
2.1,934,379,,
2.12,933,382,,
2.14,931,389,,
2.16,930,392,,
2.18,929,396,,
2.2,928,399,,
2.22,926,403,,
2.24,925,408,Box001,
2.26,929,413,,
2.28,928,417,,
2.3,928,421,,
2.32,927,424,,
2.34,925,432,,
2.36,924,436,,
2.38,924,439,,
2.4,923,443,,
2.42,922,447,,
2.44,921,451,,
2.46,918,458,,
2.48,913,460,Box001,
2.5,909,462,,
2.52,904,464,Cube,
2.54,899,466,,
2.56,892,472,,
2.58,885,473,,
2.6,881,475,,
2.62,876,476,,
2.64,872,479,,
2.66,867,481,,
2.68,856,486,,
2.7,849,488,,
2.72,843,489,,
2.74,837,492,,
2.76,831,494,,
2.78,821,499,,
2.8,814,501,,
2.82,807,503,,
2.84,801,505,,
2.86,796,507,,
2.88,785,512,,
