sep=,
Time,x-Position,y-Position,Collision,SplitTimes
0,1005,175,,
0.02,1005,175,,
0.04,1005,175,,
0.06,1005,175,,
0.08,1005,175,,
0.09999999,1005,175,,
0.12,1005,175,,
0.14,1005,175,,
0.16,1005,175,,
0.18,1005,175,,
0.2,1005,175,,
0.22,1005,175,,
0.24,1005,175,,
0.26,1005,175,,
0.28,1005,175,,
0.3,1004,176,,
0.32,1004,177,,
0.34,1004,177,,
0.36,1004,178,,
0.38,1004,179,,
0.4,1003,180,,
0.42,1003,180,,
0.44,1003,181,,
0.46,1003,182,,
0.48,1002,182,,
0.5,1002,184,,
0.52,1002,185,,
0.54,1001,186,,
0.56,1001,186,,
0.58,1001,187,,
0.6,1000,189,,
0.62,1000,190,,
0.64,999,191,,
0.66,999,192,,
0.68,999,193,,
0.7,998,194,,
0.72,997,196,,
0.74,997,198,,
0.76,997,199,,
0.78,996,200,,
0.8,996,201,,
0.82,995,204,,
0.84,994,205,,
0.86,994,206,,
0.88,994,208,,
0.9,993,209,,
0.92,992,212,,
0.94,992,214,,
0.96,991,215,,
0.98,991,217,,
1,990,218,,
1.02,989,220,,
1.04,988,223,,
1.06,988,225,,
1.08,987,226,,
1.1,987,228,,
1.12,986,230,,
1.14,985,233,,
1.16,984,235,,
1.18,984,237,,
1.2,983,239,,
1.22,982,241,,
1.24,981,244,,
1.26,980,246,,
1.28,979,249,,
1.3,979,250,,
1.32,978,253,,
1.34,977,255,,
1.36,976,259,,
1.38,975,261,,
1.4,974,263,,
1.42,974,265,,
1.44,973,268,,
1.46,971,272,,
1.48,971,275,,
1.5,970,277,,
1.52,969,279,,
1.54,968,282,,
1.56,966,286,,
1.58,966,289,,
1.6,965,291,,
1.62,964,294,,
1.64,963,297,,
1.66,962,299,,
1.68,960,304,,
1.7,959,307,,
1.72,958,310,,
1.74,957,312,,
1.76,956,315,,
1.78,955,321,,
1.8,954,324,,
1.82,953,326,,
1.84,952,329,,
1.86,951,332,,
1.88,949,338,,
1.9,948,341,,
1.92,947,344,,
1.94,945,347,,
1.96,944,350,,
1.98,943,353,,
2,941,359,,
2.02,940,363,,
2.04,939,366,,
2.06,938,369,,
2.08,937,372,,
2.1,935,379,,
2.12,933,382,,
2.14,932,385,,
2.16,931,389,,
2.18,930,392,,
2.2,928,399,,
2.22,926,402,,
2.24,926,405,Wall_773_469,
2.26,929,409,,
2.28,931,413,,
2.3,930,417,,
2.32,928,424,,
2.34,927,428,,
2.36,925,431,,
2.38,924,435,,
2.4,923,438,,
2.42,920,445,,
2.44,919,449,,
2.46,917,452,,
2.48,916,456,,
2.5,914,459,Wall_1059_405,
2.52,907,465,,
2.54,900,466,Wall_1000_500,
2.56,896,468,,
2.58,891,470,,
2.6,887,472,,
2.62,883,474,,
2.64,873,479,,
2.66,867,481,,
2.68,861,483,,
2.7,855,485,,
2.72,849,487,,
2.74,839,492,,
2.76,831,494,,
2.78,825,496,,
2.8,819,498,,
2.82,813,500,,
2.84,802,506,,
2.86,795,507,,
2.88,789,510,,
2.9,783,512,,
2.92,776,514,,
2.94,770,516,,
2.96,760,522,,
2.98,752,523,,
3,745,525,,
3.02,739,528,,
3.04,732,530,,
3.06,722,536,,
3.08,716,539,,
3.1,711,542,,
3.12,706,544,,
3.14,701,547,,
3.16,690,553,,
3.18,685,555,,
3.2,679,558,,
3.22,674,560,,
3.24,668,563,,
3.26,663,566,,
3.28,651,571,,
3.3,646,574,,
3.32,640,576,,
3.34,634,579,,
3.36,628,581,,
3.38,617,586,,
3.4,611,588,,
3.42,605,591,,
3.44,598,593,,
3.46,592,595,,
3.48,581,600,,
3.5,574,603,,
3.52,568,605,,
3.54,562,607,,
3.56,555,609,,
3.58,549,611,,
3.6,537,616,,
3.62,530,618,,
3.64,524,620,,
3.66,517,622,,
3.68,511,624,,
3.7,498,628,,
3.72,491,630,,
3.74,485,632,,
3.76,478,634,,
3.78,471,636,,
3.8,459,640,,
3.82,452,641,,
3.84,445,643,,
3.86,439,645,,
