sep=,
Time,x-Position,y-Position,Speed
0,13,4,150.2254
0.02,13,4,0
0.04,13,4,0.006001654
0.06,13,4,0
0.08,13,4,0
0.09999999,13,4,0
0.12,13,4,0
0.14,13,4,0
0.16,13,4,0
0.18,13,4,0.0875355
0.2,13,4,0.0983654
0.22,13,4,0.0553602
0.24,13,4,0.06315062
0.26,13,4,0.06061422
0.28,13,4,0.06827466
0.3,13,4,0.07253648
0.32,13,4,0.1583838
0.34,13,4,0.08883887
0.36,13,4,0.08881651
0.38,13,4,0.09054191
0.4,13,4,0.1005683
0.42,13,4,0.2064055
0.44,13,4,0.1119055
0.46,13,4,0.115871
0.48,13,4,0.1175815
0.5,13,4,0.1254604
0.52,13,4,0.2582189
0.54,13,4,0.1427997
0.56,13,4,0.1342761
0.58,13,4,0.1449248
0.6,13,4,0.1491866
0.62,13,4,0.1534442
0.64,13,4,0.3196698
0.66,13,4,0.166218
0.68,13,4,0.1704798
0.7,13,4,0.1771183
0.72,13,4,0.176611
0.74,13,4,0.3727866
0.76,13,4,0.1897439
0.78,13,4,0.1960274
0.8,13,4,0.2002743
0.82,13,4,0.212137
0.84,13,4,0.4142699
0.86,13,4,0.2173206
0.88,13,4,0.2227558
0.9,13,4,0.2246592
0.92,13,4,0.236185
0.94,13,4,0.2282581
0.96,13,4,0.4827151
0.98,13,4,0.2459375
1,13,4,0.2513396
1.02,13,4,0.2556494
1.04,13,4,0.2666904
1.06,13,4,0.5296784
1.08,13,4,0.2687824
1.1,13,4,0.2769501
1.12,13,4,0.2903974
1.14,13,4,0.2826038
1.16,13,4,0.5773259
1.18,13,4,0.3091105
1.2,13,4,0.29159
1.22,13,4,0.3067446
1.24,13,5,0.3110096
1.26,13,5,0.3285707
1.28,13,5,0.6301092
1.3,13,5,0.3295
1.32,13,5,0.3307256
1.34,13,5,0.3365498
1.36,13,5,0.3408041
1.38,13,5,0.6944076
1.4,13,5,0.3636415
1.42,13,5,0.3555548
1.44,13,5,0.3543442
1.46,13,5,0.37028
1.48,13,5,0.3691727
1.5,13,5,0.7661075
1.52,13,5,0.3688508
1.54,13,5,0.3876449
1.56,13,5,0.3919142
1.58,13,5,0.3961643
1.6,13,5,0.8248002
1.62,13,5,0.3892627
1.64,13,5,0.4132148
1.66,13,5,0.4174575
1.68,13,5,0.4241556
1.7,13,5,0.8656132
1.72,13,5,0.4229854
1.74,13,5,0.4384438
1.76,13,5,0.4430573
1.78,13,5,0.4472371
1.8,13,5,0.4668422
1.82,13,5,0.914772
1.84,13,5,0.4500698
1.86,13,5,0.468575
1.88,13,5,0.4824817
1.9,13,6,0.4775463
1.92,13,6,0.9568031
1.94,12,6,0.4976288
1.96,12,6,0.4863396
1.98,12,6,0.5029234
2,12,6,0.4980807
2.02,12,6,1.01804
2.04,12,6,0.5256425
2.06,12,6,0.5094253
2.08,12,6,0.523932
2.1,12,6,0.528164
2.12,12,6,0.5316743
2.14,12,6,1.073689
2.16,12,6,0.5419581
2.18,12,6,0.5453492
2.2,12,6,0.548734
2.22,12,6,0.5519834
2.24,12,6,1.118129
2.26,12,6,0.566049
2.28,12,6,0.5562268
2.3,12,6,0.5762192
2.32,12,6,0.562802
2.34,12,6,1.150908
2.36,12,6,0.5896834
2.38,12,7,0.5726715
2.4,12,7,0.5852728
2.42,12,7,0.5878494
2.44,12,7,0.5903578
2.46,12,7,1.187755
2.48,12,7,0.5859925
2.5,12,7,0.497319
2.52,12,7,0.4812946
2.54,12,7,0.4964022
2.56,12,7,1.023711
2.58,12,7,0.4914444
2.6,12,7,0.4973247
