sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony
0,922,461,,0,0
0.02,922,461,,0,0
0.04,922,461,,0,0
0.06,922,461,,0,0
0.08,922,461,,0,0
0.09999999,922,461,,0,0
0.12,922,461,,0,0
0.14,922,461,,0,0
0.16,922,461,,0,0
0.18,922,461,,0,0
0.2,922,461,,0,0
0.22,922,461,,0,0
0.24,922,461,,0,0
0.26,922,461,,0,0
0.28,921,462,,0,0
0.3,920,463,,0,0
0.32,920,463,,0,0
0.34,920,463,,0,0
0.36,919,464,,0,0
0.38,919,464,,0,0
0.4,918,464,,0,0
0.42,917,465,,0,0
0.44,917,466,,0,0
0.46,916,466,,0,0
0.48,916,466,,0,0
0.5,915,467,,0,0
0.52,914,468,,0,0
0.54,914,468,,0,0
0.56,913,469,,0,0
0.58,913,470,,0,0
0.6,912,470,,0,0
0.62,911,471,,0,0
0.64,910,472,,0,0
0.66,909,473,,0,0
0.68,908,473,,0,0
0.7,908,474,,0,0
0.72,907,474,,0,0
0.74,905,476,,0,0
0.76,904,477,,0,0
0.78,904,477,,0,0
0.8,903,478,,0,0
0.82,902,479,,0,0
0.84,900,481,,0,0
0.86,899,481,,0,0
0.88,898,482,,0,0
0.9,897,483,,0,0
0.92,896,484,,0,0
0.94,894,486,,0,0
0.96,893,487,,0,0
0.98,892,488,,0,0
1,891,489,,0,0
1.02,890,490,,0,0
1.04,889,491,,0,0
1.06,887,493,,0,0
1.08,885,494,,0,0
1.1,884,495,,0,0
1.12,883,496,,0,0
1.14,882,497,,0,0
1.16,879,499,,0,0
1.18,878,500,,0,0
1.2,877,501,,0,0
1.22,875,502,,0,0
1.24,874,504,,0,0
1.26,871,506,,0,0
1.28,870,507,,0,0
1.3,869,509,,0,0
1.32,867,510,,0,0
1.34,866,511,,0,0
1.36,864,512,,0,0
1.38,861,515,,0,0
1.4,860,516,,0,0
1.42,858,518,,0,0
1.44,857,519,,0,0
1.46,855,521,,0,0
1.48,852,523,,0,0
1.5,850,525,,0,0
1.52,849,526,,0,0
1.54,847,528,,0,0
1.56,845,529,,0,0
1.58,844,531,,0,0
1.6,840,534,,0,0
1.62,838,535,,0,0
1.64,837,537,,0,0
1.66,835,539,,0,0
1.68,833,540,,0,0
1.7,829,543,,0,0
1.72,828,545,,0,0
1.74,826,547,,0,0
1.76,824,548,,0,0
1.78,822,550,,0,0
1.8,818,554,,0,0
1.82,816,555,,0,0
1.84,814,557,,0,0
1.86,812,559,,0,0
1.88,810,561,,0,0
1.9,808,562,,0,0
1.92,804,566,,0,0
1.94,802,568,,0,0
1.96,800,570,,0,0
1.98,797,572,,0,0
2,795,574,,0,0
2.02,791,578,,0,0
2.04,789,580,,0,0
2.06,786,581,,0,0
2.08,784,583,,0,0
2.1,782,586,,0,0
2.12,777,590,,0,0
2.14,775,592,,0,0
2.16,773,594,,0,0
2.18,770,596,,0,0
2.2,768,598,,0,0
2.22,766,600,,0,0
2.24,761,604,,0,0
2.26,758,607,,0,0
2.28,756,609,,0,0
2.3,753,611,,0,0
2.32,751,613,,0,0
2.34,746,618,,0,0
2.36,743,620,,0,0
2.38,741,622,,0,0
2.4,738,625,,0,0
2.42,735,627,,0,0
2.44,733,629,,0,0
2.46,728,634,,0,0
2.48,725,636,,0,0
2.5,722,639,,0,0
2.52,719,641,,0,0
2.54,717,643,,0,0
2.56,711,648,,0,0
2.58,708,651,,0,0
2.6,706,653,,0,0
2.62,703,656,,0,0
2.64,700,658,,0,0
2.66,694,664,,0,0
2.68,691,666,,0,0
2.7,688,669,,0,0
2.72,685,671,,0,0
2.74,682,674,,0,0
2.76,676,679,,0,0
2.78,673,682,,0,0
2.8,670,685,,0,0
2.82,667,687,,0,0
2.84,664,690,,0,0
2.86,661,693,,0,0
2.88,655,698,,0,0
2.9,652,701,,0,0
2.92,650,704,,607,680
2.94,648,707,,0,0
2.96,644,710,,0,0
2.98,641,713,,0,0
3,635,719,,0,0
3.02,631,722,,0,0
3.04,628,725,,0,0
3.06,625,727,,0,0
3.08,621,730,,0,0
3.1,615,736,,0,0
3.12,611,739,,0,0
3.14,608,742,,0,0
3.16,604,744,,0,0
3.18,601,747,,0,0
3.2,597,750,,0,0
3.22,590,756,,0,0
3.24,586,758,,0,0
3.26,583,761,,0,0
3.28,579,764,,0,0
3.3,575,767,,0,0
3.32,568,772,,0,0
3.34,564,775,,0,0
3.36,560,778,,0,0
3.38,556,781,,0,0
3.4,552,783,,0,0
3.42,544,789,,0,0
3.44,540,792,,0,0
3.46,536,794,,0,0
3.48,532,797,,0,0
3.5,528,800,,0,0
3.52,524,802,,0,0
3.54,516,808,,0,0
3.56,512,810,,0,0
3.58,508,813,,0,0
3.6,503,816,,0,0
3.62,499,818,,0,0
3.64,491,823,,0,0
3.66,486,826,,0,0
3.68,482,829,,0,0
3.7,478,831,,0,0
3.72,473,834,,0,0
3.74,464,839,,0,0
3.76,460,841,,0,0
3.78,455,844,,0,0
3.8,451,846,,0,0
3.82,446,849,,0,0
3.84,442,851,,0,0
3.86,433,856,,0,0
3.88,424,858,,436,869
3.9,419,861,,0,0
3.92,414,864,,0,0
3.94,409,867,,0,0
3.96,399,872,,0,0
3.98,394,874,,0,0
4,389,877,,0,0
4.02,384,880,,0,0
4.04,379,882,,0,0
4.06,369,887,,0,0
4.08,364,890,,0,0
4.1,359,892,,0,0
4.12,354,895,,0,0
4.14,349,897,,0,0
4.16,344,900,,0,0
4.18,334,904,,0,0
4.2,329,907,,0,0
4.22,324,909,,0,0
4.24,319,911,,0,0
4.26,314,914,,0,0
4.28,305,918,,0,0
4.3,300,920,,0,0
4.32,295,923,,0,0
4.34,290,925,,0,0
4.36,285,927,,0,0
4.38,276,931,,0,0
4.4,272,934,,0,0
4.42,267,936,,0,0
4.44,262,938,,0,0
4.46,257,940,,0,0
4.48,253,943,,0,0
4.5,244,946,,0,0
4.52,239,949,,0,0
4.54,235,951,,0,0
4.56,230,953,,0,0
4.58,225,955,,0,0
4.6,217,959,,0,0
4.62,212,961,,0,0
4.64,208,963,,0,0
4.66,203,965,,0,0
4.68,199,967,,0,0
4.7,191,970,,0,0
4.72,186,972,,0,0
4.74,182,974,,0,0
4.76,177,976,,0,0
4.78,173,978,,0,0
4.8,169,980,,0,0
4.82,161,983,,0,0
4.84,156,985,,0,0
4.86,152,987,,0,0
4.88,148,989,,0,0
4.9,144,991,,0,0
4.92,136,994,,0,0
4.94,132,996,,0,0
4.96,128,996,,0,0
4.98,124,996,,0,0
5,119,996,,0,0
5.02,115,996,,0,0
5.04,108,996,,0,0
5.06,104,996,,0,0
5.08,100,996,,0,0
5.1,96,996,,0,0
5.12,92,996,,0,0
5.14,85,996,,0,0
5.16,81,996,,0,0
5.18,77,996,,0,0
5.2,74,996,,0,0
5.22,70,996,,0,0
5.24,63,996,,0,0
5.26,59,996,,0,0
5.28,55,996,,0,0
5.3,52,996,,0,0
5.32,48,996,,0,0
5.34,45,996,,0,0
5.36,38,996,,0,0
5.38,34,996,,0,0
5.4,31,996,,0,0
5.42,27,996,,0,0
5.44,24,996,,0,0
5.46,18,996,,0,0
5.48,14,996,,0,0
5.5,11,996,,0,0
5.52,7,996,,0,0
5.54,4,996,,0,0
5.56,4,996,,0,0
5.58,4,996,,0,0
5.6,4,996,,0,0
5.62,4,996,,0,0
5.64,4,996,,0,0
5.66,4,996,,0,0
5.68,4,996,,0,0
5.7,4,996,,0,0
5.72,4,996,,0,0
5.74,4,996,,0,0
5.76,4,996,,0,0
5.78,4,996,,0,0
5.8,4,996,,0,0
5.82,4,996,,0,0
5.84,4,996,,0,0
5.86,4,996,,0,0
5.88,4,996,,0,0
5.9,4,996,,0,0
5.92,4,996,,0,0
5.94,4,996,,0,0
5.96,4,996,,0,0
5.98,4,996,,0,0
6,4,996,,0,0
6.02,4,996,,0,0
6.04,4,996,,0,0
6.06,4,996,,0,0
6.08,4,996,,0,0
6.1,4,996,,0,0
6.12,4,996,,0,0
6.14,4,996,,0,0
6.16,4,996,,0,0
6.18,4,996,,0,0
6.2,4,996,,0,0
6.22,4,996,,0,0
6.24,4,996,,0,0
6.26,4,996,,0,0
6.28,4,996,,0,0
6.3,4,996,,0,0
6.32,4,996,,0,0
6.34,4,996,,0,0
6.36,4,996,,0,0
6.38,4,996,,0,0
6.4,4,996,,0,0
6.42,4,996,,0,0
6.44,4,996,,0,0
6.46,4,996,,0,0
6.48,4,996,,0,0
6.5,4,996,,0,0
6.52,4,996,,0,0
6.54,4,996,,0,0
6.56,4,996,,0,0
6.58,4,996,,0,0
6.6,4,996,,0,0
6.62,4,996,,0,0
6.64,4,996,,0,0
6.66,4,996,,0,0
6.68,4,996,,0,0
6.7,4,996,,0,0
6.72,4,996,,0,0
6.74,4,996,,0,0
6.76,4,996,,0,0
6.78,4,996,,0,0
6.8,4,996,,0,0
6.82,4,996,,0,0
6.84,4,996,,0,0
6.86,4,996,,0,0
6.88,4,996,,0,0
6.9,4,996,,0,0
6.92,4,996,,0,0
6.94,4,996,,0,0
6.96,4,996,,0,0
6.98,4,996,,0,0
7,4,996,,0,0
7.02,4,996,,0,0
7.04,4,996,,0,0
7.06,4,996,,0,0
7.08,4,996,,0,0
7.1,4,996,,0,0
7.12,4,996,,0,0
7.14,4,996,,0,0
7.16,4,996,,0,0
7.18,4,996,,0,0
7.2,4,996,,0,0
7.22,4,996,,0,0
7.24,4,996,,0,0
7.26,4,996,,0,0
7.28,4,996,,0,0
7.3,4,996,,0,0
7.32,4,996,,0,0
7.34,4,996,,0,0
7.36,4,996,,0,0
7.38,4,996,,0,0
7.4,4,995,,0,0
7.42,4,996,,0,0
7.44,4,996,,0,0
7.46,4,996,,0,0
7.48,4,996,,0,0
7.5,4,996,,0,0
7.52,5,995,,0,0
7.54,5,995,,0,0
7.56,5,995,,0,0
7.58,5,995,,0,0
7.6,5,995,,0,0
7.62,5,995,,0,0
7.64,5,995,,0,0
7.66,5,995,,0,0
7.68,5,994,,0,0
7.7,5,994,,0,0
7.72,5,994,,0,0
7.74,5,994,,0,0
7.76,5,993,,0,0
7.78,5,993,,0,0
7.8,5,993,,0,0
7.82,5,993,,0,0
7.84,6,992,,0,0
7.86,6,992,,0,0
7.88,6,992,,0,0
7.9,6,991,,0,0
7.92,6,991,,0,0
7.94,7,990,,0,0
7.96,7,990,,0,0
7.98,7,990,,0,0
8,8,989,,0,0
8.02,8,989,,0,0
8.04,9,988,,0,0
8.059999,10,987,,0,0
8.08,10,987,,0,0
8.099999,10,987,,0,0
8.12,11,986,,0,0
8.139999,11,986,,0,0
8.16,13,985,,0,0
8.179999,13,984,,0,0
8.2,14,984,,0,0
8.22,14,983,,0,0
8.24,15,983,,0,0
8.26,17,981,,0,0
8.28,18,981,,0,0
8.3,18,980,,0,0
8.32,19,980,,0,0
8.34,20,979,,0,0
8.36,22,978,,0,0
8.38,23,977,,0,0
8.4,24,977,,0,0
8.42,24,976,,0,0
8.44,25,976,,0,0
8.46,26,975,,0,0
8.48,29,973,,0,0
8.5,30,973,,0,0
8.52,31,972,,0,0
8.54,32,971,,0,0
8.559999,33,971,,0,0
8.58,36,969,,0,0
8.599999,37,968,,0,0
8.62,38,967,,0,0
8.639999,39,967,,0,0
8.66,40,966,,0,0
8.679999,44,964,,0,0
8.7,45,963,,0,0
8.72,46,963,,0,0
8.74,48,962,,0,0
8.76,49,961,,0,0
8.78,50,960,,0,0
8.8,54,958,,0,0
8.82,55,957,,0,0
8.84,57,956,,0,0
8.86,58,956,,0,0
8.88,60,955,,0,0
8.9,64,952,,0,0
8.92,65,952,,0,0
8.94,67,951,,0,0
8.96,69,950,,0,0
8.98,70,949,,0,0
9,75,946,,0,0
9.02,76,945,,0,0
9.04,78,944,,0,0
9.059999,80,944,,0,0
9.08,82,943,,0,0
9.099999,84,942,,0,0
9.12,88,939,,0,0
9.139999,90,938,,0,0
9.16,92,937,,0,0
9.179999,94,936,,0,0
9.2,96,935,,0,0
9.22,101,932,,0,0
9.24,103,931,,0,0
9.26,105,930,,0,0
9.28,107,929,,0,0
9.3,109,928,,0,0
9.32,115,925,,0,0
9.34,117,924,,0,0
9.36,119,923,,0,0
9.38,121,921,,0,0
9.4,124,920,,0,0
9.42,126,919,,0,0
9.44,132,916,,0,0
9.46,134,915,,0,0
9.48,137,913,,0,0
9.5,139,912,,0,0
9.52,142,911,,0,0
9.54,144,910,,0,0
9.559999,150,907,,0,0
9.58,153,905,,0,0
9.599999,156,904,,0,0
9.62,158,903,,0,0
9.639999,161,901,,0,0
9.66,167,898,,0,0
9.679999,170,897,,0,0
9.7,173,895,,0,0
9.719999,175,894,,0,0
9.74,178,893,,0,0
9.76,181,891,,0,0
9.78,188,888,,0,0
9.8,191,886,,0,0
9.82,194,885,,0,0
9.84,197,884,,0,0
9.86,200,882,,0,0
9.88,207,879,,0,0
9.9,210,877,,0,0
9.92,213,876,,0,0
9.94,216,874,,0,0
9.96,219,873,,0,0
9.98,226,869,,0,0
10,229,867,,0,0
10.02,233,866,,0,0
10.04,236,864,,0,0
10.06,240,863,,0,0
10.08,243,861,,0,0
10.1,250,857,,0,0
10.12,254,856,,0,0
10.14,257,854,,0,0
10.16,260,852,,0,0
10.18,264,851,,0,0
10.2,272,847,,0,0
10.22,275,845,,0,0
10.24,279,843,,0,0
10.26,283,842,,0,0
10.28,286,840,,0,0
10.3,290,838,,0,0
10.32,298,834,,0,0
10.34,302,832,,0,0
10.36,305,830,,0,0
10.38,309,829,,0,0
10.4,313,827,,0,0
10.42,321,822,,0,0
10.44,325,820,,0,0
10.46,329,819,,0,0
10.48,332,817,,0,0
10.5,336,815,,0,0
10.52,345,810,,0,0
10.54,348,808,,0,0
10.56,352,806,,0,0
10.58,356,804,,0,0
10.6,359,802,,322,775
10.62,368,798,,0,0
10.64,373,798,,397,795
