sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony,Speed
0,922,461,,0,0,161.4801
0.02,922,461,,0,0,0
0.04,921,462,,0,0,0.03999939
0.06,921,462,,0,0,0
0.08,921,462,,0,0,0
0.09999999,921,462,,0,0,0
0.12,921,462,,0,0,0
0.14,921,462,,0,0,0
0.16,921,462,,0,0,0
0.18,921,462,,0,0,0
0.2,921,462,,0,0,0
0.22,918,465,,0,0,0.7772705
0.24,917,465,,0,0,0.2527435
0.26,916,466,,0,0,0.2527374
0.28,915,467,,0,0,0.2527435
0.3,913,469,,0,0,0.5054809
0.32,912,470,,0,0,0.2527374
0.34,911,471,,0,0,0.2527374
0.36,909,472,,0,0,0.2555008
0.38,908,473,,0,0,0.2499695
0.4,907,474,,0,0,0.2528412
0.42,905,476,,0,0,0.5054108
0.44,904,477,,0,0,0.2526947
0.46,903,478,,0,0,0.2527435
0.48,902,479,,0,0,0.2527328
0.5,901,480,,0,0,0.2527374
0.52,899,482,,0,0,0.5089462
0.54,898,483,,0,0,0.2492615
0.56,896,484,,0,0,0.2533264
0.58,895,485,,0,0,0.2521545
0.6,894,486,,0,0,0.2575012
0.62,892,488,,0,0,0.5026093
0.64,891,489,,0,0,0.2541718
0.66,890,490,,0,0,0.2493973
0.68,889,491,,0,0,0.2540787
0.7,888,492,,0,0,0.2621872
0.72,886,493,,0,0,0.4953018
0.74,885,494,,0,0,0.2547653
0.76,883,495,,0,0,0.2550705
0.78,882,496,,0,0,0.2477676
0.8,881,497,,0,0,0.2527374
0.82,880,498,,0,0,0.2527328
0.84,878,500,,0,0,0.5054764
0.86,877,501,,0,0,0.2527374
0.88,876,502,,0,0,0.2581436
0.9,875,503,,0,0,0.2473267
0.92,874,504,,0,0,0.2552826
0.94,872,506,,0,0,0.503067
0.96,870,507,,0,0,0.2620071
0.98,869,508,,0,0,0.2433273
1,868,509,,0,0,0.2527435
1.02,867,510,,0,0,0.2542313
1.04,865,512,,0,0,0.5039765
1.06,864,513,,0,0,0.2536423
1.08,863,514,,0,0,0.2518387
1.1,862,515,,0,0,0.2577896
1.12,861,516,,0,0,0.2476913
1.14,860,517,,0,0,0.2527328
1.16,857,518,,0,0,0.5054809
1.18,856,519,,0,0,0.2527374
1.2,855,520,,0,0,0.2527374
1.22,854,521,,0,0,0.2527374
1.24,853,522,,0,0,0.2541443
1.26,851,524,,0,0,0.5040695
1.28,850,525,,0,0,0.2535339
1.3,849,526,,0,0,0.2553208
1.32,848,527,,0,0,0.2493591
1.34,847,528,,0,0,0.2527328
1.36,846,529,,0,0,0.2527435
1.38,843,531,,0,0,0.505661
1.4,842,532,,0,0,0.2622421
1.42,841,533,,0,0,0.2470978
1.44,840,534,,0,0,0.2486832
1.46,839,535,,0,0,0.2536484
1.48,837,537,,0,0,0.5045716
1.5,836,538,,0,0,0.2527435
1.52,835,539,,0,0,0.2556046
1.54,834,540,,0,0,0.2498612
1.56,833,541,,0,0,0.252771
1.58,830,543,,0,0,0.5093781
1.6,829,543,,0,0,0.248793
1.62,828,544,,0,0,0.2527435
1.64,827,545,,0,0,0.2529236
1.66,826,546,,0,0,0.2580566
1.68,825,547,,0,0,0.2477463
1.7,823,549,,0,0,0.504953
1.72,822,550,,0,0,0.2527374
1.74,821,551,,0,0,0.2547974
1.76,819,552,,0,0,0.2629227
1.78,818,553,,0,0,0.2404984
1.8,816,555,,0,0,0.5087189
1.82,815,556,,0,0,0.2550812
1.84,814,557,,0,0,0.2473648
1.86,813,558,,0,0,0.255719
1.88,812,559,,0,0,0.2495392
1.9,810,561,,0,0,0.5054596
1.92,809,562,,0,0,0.2527542
1.94,808,563,,0,0,0.252858
1.96,807,564,,0,0,0.2542313
1.98,805,565,,0,0,0.2513046
2,804,566,,0,0,0.2525696
2.02,802,568,,0,0,0.508223
2.04,801,569,,0,0,0.2548691
2.06,800,569,,0,0,0.2478607
2.08,799,570,,0,0,0.2527161
2.1,798,571,,0,0,0.2527435
2.12,796,573,,0,0,0.5073838
2.14,795,574,,0,0,0.2508301
2.16,794,575,,0,0,0.2527328
2.18,792,576,,0,0,0.2539261
2.2,791,577,,0,0,0.2515503
2.22,789,579,,0,0,0.5129959
